TARA_145	TARA_150	TARA_151	TARA_152	TARA_66	TARA_68	TARA_81
5312640	27	16	30	10	15	13	17
6561659_1	22	11	33	10	13	11	15
6561659_2	22	11	33	10	13	11	15
696581	32	10	20	10	14	10	12
4232398_1	21	11	17	13	19	16	18
4232398_2	21	11	17	13	19	16	18
6144399	11	11	17	11	11	9	14
5286010	25	13	22	11	14	10	10
3348548	25	9	20	9	16	11	17
5866266	21	10	30	10	9	18	13
2879040	22	10	35	13	10	11	16
2590786	17	9	30	15	17	10	12
5293795	22	12	31	9	12	20	14
2830501	36	9	18	12	14	16	16
1584807	21	13	24	12	20	18	15
5458852	13	10	23	10	14	15	9
1921181_1	25	12	32	10	19	13	12
1921181_2	25	12	32	10	19	13	12
4758985_1	34	12	28	11	17	12	14
4758985_2	34	12	28	11	17	12	14
1375741	14	11	27	13	15	12	11
1301420	18	15	31	9	12	13	15
4437889	25	11	26	15	11	15	13
5381615	22	12	19	10	13	15	9
1468826	19	13	28	10	9	11	13
1465824	35	15	21	10	14	15	20
1669644_1	34	12	35	10	19	10	10
1669644_2	34	12	35	10	19	10	10
1711657	12	17	18	10	9	15	18
514143_1	17	10	23	11	22	14	20
514143_2	17	10	23	11	22	14	20
1345643	38	17	25	11	15	10	22
3502184	13	13	21	10	17	16	13
2857035_1	24	9	30	14	14	11	11
2857035_2	24	9	30	14	14	11	11
5204502	29	16	29	10	21	17	18
1592567	35	16	21	10	9	17	22
2779597	16	11	23	10	10	9	9
1890908	22	14	21	12	11	9	16
3983263	35	11	33	9	19	14	24
1766027	19	13	29	10	12	20	11
5882961	24	14	21	10	13	11	9
5410561	34	17	18	15	12	10	18
4253191	22	12	26	12	9	12	11
3572272	22	14	33	10	21	18	19
5975814	18	13	32	12	17	15	20
42814	18	9	37	9	12	19	10
50848	15	11	21	9	10	12	17
6399838	27	16	35	9	18	14	16
1058403	17	11	30	9	12	15	16
2840042	13	13	28	9	17	9	9
1076513	28	15	26	10	17	9	10
5662496	13	12	28	10	12	11	11
4519444	12	10	37	12	14	9	10
2451384	36	12	24	14	15	11	18
1425038_1	33	11	26	14	13	19	15
1425038_2	33	11	26	14	13	19	15
885312	34	13	23	9	10	15	22
3339836	13	11	30	9	14	19	22
5463782_1	19	11	15	9	10	18	15
5463782_2	19	11	15	9	10	18	15
5327230	17	14	29	10	9	11	14
1728752_1	17	9	31	10	20	15	16
1728752_2	17	9	31	10	20	15	16
2420963	10	9	27	14	14	14	14
711178	20	11	30	14	14	13	9
4864184	33	12	35	12	13	14	22
1475716	13	11	23	11	15	15	13
4661749	24	13	28	9	22	19	15
4515080	12	12	30	14	15	14	10
4589187	15	10	36	13	14	16	12
5210890_1	23	16	28	12	19	16	11
5210890_2	23	16	28	12	19	16	11
4456914	23	13	20	11	11	9	13
3169153	26	10	29	14	22	21	17
1265735	11	11	36	11	21	11	10
986902	13	10	34	12	18	11	11
4453727	37	14	20	10	20	9	20
1127442_1	15	11	26	11	14	14	22
1127442_2	15	11	26	11	14	14	22
1105843	12	14	23	13	9	15	14
380025	26	12	19	9	14	18	15
6189781	21	12	26	10	16	13	9
6004423	23	14	34	9	22	16	14
3541488_1	33	10	30	10	15	16	16
3541488_2	33	10	30	10	15	16	16
3541488_3	33	10	30	10	15	16	16
3349562	19	10	35	10	12	16	18
6483401	18	12	32	12	17	18	19
2289853	34	12	24	9	20	11	13
3058822	32	12	21	10	9	11	17
5983468	27	13	31	12	10	15	19
1304249_1	26	14	24	13	20	16	15
1304249_2	26	14	24	13	20	16	15
5518949	28	13	27	10	18	19	21
3938742	28	15	27	9	10	16	23
5470463	17	14	28	13	20	16	21
6576778	28	12	24	10	16	18	15
3353090	28	9	25	11	19	17	14
5648742	36	9	31	11	19	19	16
2536979	18	11	22	9	13	16	9
4135958_1	23	15	25	10	16	19	17
4135958_2	23	15	25	10	16	19	17
4932896	30	12	16	12	21	12	13
2760304	21	10	24	10	14	11	11
2128509	19	10	24	12	14	17	20
2200199	36	10	27	9	21	15	17
3050260	30	11	29	15	17	19	13
