TARA_4	TARA_7	TARA_9	TARA_18	TARA_22	TARA_23	TARA_25
6017135	0.888888888888889	0.285714285714286	0	0	0	0	0
5862132	0	0.833333333333333	1	1	1	0.935483870967742	0.8
1206210	1	0.45	0.272727272727273	1	1	1	1
5206065	0.923076923076923	0.333333333333333	0.0769230769230769	0	0.111111111111111	0	0
1996198	0.818181818181818	0.318181818181818	0	0	0	0.0285714285714286	0
4023103	0.2	0.5	1	0.916666666666667	1	1	1
1321521	0.666666666666667	0.434782608695652	0	0	0	0	0
3677356	0.818181818181818	0.2	0	0	0.142857142857143	0	0.1
4750107	0.846153846153846	0.318181818181818	0	0	0.2	0.0540540540540541	0
3904897	0.916666666666667	0.5	0.0769230769230769	0.222222222222222	0.3	0.0294117647058824	0
2602420	0	0.523809523809524	1	0.454545454545455	0.0714285714285714	0.290322580645161	0.0909090909090909
1705851	0.181818181818182	0.620689655172414	0.764705882352941	1	1	1	1
468816	1	0.541666666666667	0	0.7	0.944444444444444	0.884615384615385	0.5
5137773	0.1	0.766666666666667	1	1	0.777777777777778	0.896551724137931	1
376469	0.111111111111111	0	0	0.230769230769231	0.166666666666667	0.55	0.888888888888889
6601160	1	0.333333333333333	0	0.454545454545455	1	0.780487804878049	0.454545454545455
3966063	0.230769230769231	0.541666666666667	0.923076923076923	0.909090909090909	0.9375	0.972222222222222	0.923076923076923
2962719	0.2	0.5	1	1	0.888888888888889	0.866666666666667	1
1887963	0.444444444444444	0	0.0769230769230769	0.8	0.222222222222222	0.666666666666667	0.545454545454545
466908	0.444444444444444	0	0	0.333333333333333	0.7	0.515151515151515	0
1250822	0.777777777777778	0.458333333333333	0.133333333333333	0	0	0.0857142857142857	0
823054	1	0.409090909090909	0	0.727272727272727	0.272727272727273	0.5	0.1
2342533_1	0.888888888888889	0.233333333333333	0	0	0.125	0.0952380952380952	0
2342533_2	0.888888888888889	0.233333333333333	0	0	0.125	0.0952380952380952	0
2342533_3	0.888888888888889	0.233333333333333	0	0	0.125	0.0952380952380952	0
2385043	0.444444444444444	0.478260869565217	0.944444444444444	1	1	0.941176470588235	0.916666666666667
443557	0.7	0.111111111111111	0	0.333333333333333	0.533333333333333	0.714285714285714	0.833333333333333
1419887	1	0.933333333333333	0.285714285714286	0.777777777777778	1	0.794117647058823	1
5584668	1	0.346153846153846	0.0625	0.888888888888889	0.615384615384615	0.731707317073171	0.4
5198825	0.2	0.590909090909091	0.9	0.928571428571429	0.0909090909090909	0.379310344827586	0.75
1794709	0.0909090909090909	0.0384615384615385	0	0.3	0.266666666666667	0.289473684210526	0.909090909090909
3512577	1	0.423076923076923	0.214285714285714	0.181818181818182	1	0.615384615384615	0.888888888888889
6019726	0	0.416666666666667	0.2	0	0	0	0
6523586_1	0	0.6	0.857142857142857	0.6	0	0.303030303030303	0.3
6523586_2	0	0.6	0.857142857142857	0.6	0	0.303030303030303	0.3
891765	0	0.516129032258065	1	0.5	0.75	0.464285714285714	0.0909090909090909
4234745_1	1	0.263157894736842	0.0909090909090909	0.727272727272727	0.583333333333333	0.731707317073171	0.25
4234745_2	1	0.263157894736842	0.0909090909090909	0.727272727272727	0.583333333333333	0.731707317073171	0.25
