TARA_144	TARA_146	TARA_147	TARA_148	TARA_149	TARA_70	TARA_76	TARA_78
2574582	1	0.947368421052632	1	0.961538461538462	1	0.933333333333333	0.64	1
4991078	0.2	0.166666666666667	0.125	0.0454545454545455	0.0555555555555556	0.142857142857143	0	0.75
3364431	1	0.875	1	0.933333333333333	0.857142857142857	0.411764705882353	0.954545454545455	0.916666666666667
5389245	0.1	0.619047619047619	0.380952380952381	0.642857142857143	0.266666666666667	0.888888888888889	0.68	0.6
3509343	0.636363636363636	0.111111111111111	0.166666666666667	0.105263157894737	0.230769230769231	0.0625	0.130434782608696	0.5
1545138	0	0.421052631578947	0.44	0.294117647058824	0.428571428571429	0.923076923076923	0.214285714285714	0.181818181818182
6303538	0	0.0344827586206897	0.333333333333333	0	0	0.111111111111111	0.0666666666666667	0
3384782_1	0.642857142857143	0.233333333333333	0.222222222222222	0.416666666666667	0.04	0.0769230769230769	0.4	0.0769230769230769
3384782_2	0.642857142857143	0.233333333333333	0.222222222222222	0.416666666666667	0.04	0.0769230769230769	0.4	0.0769230769230769
2366559	0.272727272727273	0.411764705882353	0.04	0.387096774193548	0.272727272727273	0.125	0.315789473684211	0.153846153846154
1749483	0.333333333333333	0.142857142857143	0.153846153846154	0.379310344827586	0.714285714285714	0.153846153846154	0.423076923076923	0.333333333333333
1241965	0.866666666666667	0.962962962962963	0.5	0.884615384615385	0.684210526315789	1	0.666666666666667	0.888888888888889
4781555_1	0.333333333333333	0.526315789473684	0.72	0.387096774193548	0.631578947368421	0.785714285714286	0.636363636363636	0.888888888888889
4781555_2	0.333333333333333	0.526315789473684	0.72	0.387096774193548	0.631578947368421	0.785714285714286	0.636363636363636	0.888888888888889
471046	0.9	0.888888888888889	0.736842105263158	0.743589743589744	0.863636363636364	1	0.777777777777778	1
6120284	0	0.275862068965517	0.0357142857142857	0.0222222222222222	0	0	0.0666666666666667	0
2888331	0.545454545454545	0.235294117647059	0.272727272727273	0.647058823529412	0.533333333333333	0.916666666666667	0.681818181818182	0.444444444444444
5622917	0.636363636363636	0.823529411764706	0.529411764705882	0.71875	0.894736842105263	0.588235294117647	0.619047619047619	0.888888888888889
2638815	0.454545454545455	0	0.258064516129032	0.0444444444444444	0.105263157894737	0.4	0.04	0
4730455_1	0.785714285714286	0.434782608695652	0.714285714285714	0.659574468085106	0.4	0.5	0.476190476190476	0
4730455_2	0.785714285714286	0.434782608695652	0.714285714285714	0.659574468085106	0.4	0.5	0.476190476190476	0
5254689	0.909090909090909	1	0.882352941176471	0.743589743589744	0.777777777777778	0.928571428571429	0.555555555555556	0.785714285714286
5345835_1	0.583333333333333	0.535714285714286	0.764705882352941	0.676470588235294	0.444444444444444	0.9	0.375	1
5345835_2	0.583333333333333	0.535714285714286	0.764705882352941	0.676470588235294	0.444444444444444	0.9	0.375	1
2175844	0.9	0.863636363636364	0.842105263157895	0.84375	0.533333333333333	1	0.705882352941177	0.777777777777778
6567335	1	1	1	0.976744186046512	0.8	0.8	1	1
115550	0.0625	0.0344827586206897	0	0.311111111111111	0.105263157894737	0	0.111111111111111	0.0833333333333333
31325	0.4	0.136363636363636	0.227272727272727	0.244897959183673	0.2	0.25	0.0416666666666667	0
4661942	0.181818181818182	0.3	0.25	0.38	0	0.555555555555556	0.470588235294118	0.538461538461538
3863088	0.133333333333333	0.424242424242424	0.3	0.531914893617021	0.642857142857143	0	0.285714285714286	0.5
16309	0.5	0.6	0.875	0.608695652173913	0.5	0.727272727272727	0.588235294117647	0.636363636363636
3163131	0.888888888888889	0.807692307692308	0.764705882352941	0.741935483870968	0.666666666666667	0.888888888888889	0.857142857142857	0.230769230769231
5388500	0.153846153846154	0.464285714285714	0.588235294117647	0.574468085106383	0.388888888888889	0.928571428571429	0.4	0.4
32456	0.0833333333333333	0.181818181818182	0.321428571428571	0.375	0.666666666666667	0.533333333333333	0.291666666666667	0.285714285714286
