TARA_144	TARA_18	TARA_26	TARA_30	TARA_70	TARA_76
6488506	12	9	9	9	16	9
5283634	13	14	9	15	17	11
279824	11	12	9	13	11	11
4218243	11	9	10	16	15	12
4463191	9	12	9	11	17	10
2693785	11	16	10	14	15	12
3180768	9	12	10	11	16	11
1200025	9	12	9	10	12	11
405192	15	13	10	9	11	12
143267_1	9	10	9	13	16	9
143267_2	9	10	9	13	16	9
1408080	11	13	10	11	17	11
1358212	9	11	10	11	20	9
720518_1	16	10	9	10	13	9
720518_2	16	10	9	10	13	9
5949859	10	11	10	13	13	9
929008	9	9	11	9	16	9
4245745	10	14	9	14	19	9
5319060_1	11	14	9	13	14	9
5319060_2	11	14	9	13	14	9
6622850	15	9	9	11	20	12
4892412	10	12	12	17	14	12
6157321	12	11	11	10	13	10
6049146	9	12	10	13	11	9
6149567	13	13	11	15	16	11
1797594_1	9	12	12	12	13	9
1797594_2	9	12	12	12	13	9
5471453	16	13	9	13	15	10
5191036	9	10	12	10	13	11
2356541	12	15	10	10	19	11
5712454	12	12	11	17	16	12
2961556	9	10	10	14	13	10
687854	11	9	10	11	17	11
259458	9	12	9	12	12	14
2152467	11	14	9	9	19	11
2710829	9	14	11	14	18	12
444422	14	14	10	15	17	13
1349094	14	12	11	12	13	12
4811258	10	14	9	15	14	11
2908414	11	15	12	15	18	13
1621966	11	16	9	11	16	10
2495152	15	11	10	10	12	9
5340495	9	14	11	13	19	9
5925897	13	14	9	9	18	11
1438689	9	9	11	14	18	11
5409389	9	14	9	14	18	10
1026862	12	9	9	13	13	9
4577780	9	12	10	14	12	13
3723541_1	10	13	12	13	16	9
3723541_2	10	13	12	13	16	9
5956114	12	14	10	11	12	11
4290364	9	15	11	9	18	13
2261971	12	13	12	13	20	13
1348666	13	13	11	16	17	9
5690913	9	11	9	15	16	11
1325371	13	15	10	10	12	10
2374786	14	13	9	12	14	12
5943078	10	11	11	11	20	10
2419054	9	11	11	10	17	11
3291936	13	9	9	11	13	13
612697	13	14	9	14	16	10
800129	9	12	9	14	12	13
727284	11	16	9	11	17	10
6295508	9	12	9	13	14	14
2853160	9	12	9	13	15	10
471658	13	10	11	15	15	9
1134876	12	15	10	13	14	10
2753049	11	14	11	15	14	11
4074727	12	12	10	16	13	10
4689377	11	10	10	16	18	12
2612438	9	12	12	15	14	10
6279408	14	15	9	9	17	10
2559586	13	9	10	11	13	12
4828824	9	9	12	10	15	12
6320014	10	9	9	12	14	11
5456525	10	10	9	13	16	10
563193	14	12	11	16	15	9
674191	9	11	9	12	14	9
170726	11	9	11	12	15	9
4277934	9	12	11	15	18	11
2292118	10	10	9	12	12	12
4664725	10	13	11	14	18	9
1928322	12	11	12	14	20	9
2517014	10	10	10	16	14	10
5783416	15	14	11	14	17	13
537270	10	13	9	12	15	14
3597350	12	10	10	15	16	13
4631496	9	13	9	18	17	10
6121140	11	12	9	11	17	12
652215	10	12	9	18	13	12
3370745	12	13	11	15	18	10
1881618	13	13	12	12	16	9
536790	12	11	10	12	15	10
5679052	15	17	11	16	18	13
5245463	13	9	9	13	13	14
163345	13	16	10	11	18	10
4277123	9	14	9	9	15	14
1684564	16	12	11	16	17	10
1859401	12	12	12	14	16	11
4535605	13	16	9	15	17	11
2670916	11	14	11	13	12	12
5695734	9	13	12	16	18	11
419299	14	12	9	14	13	11
3307176	12	14	11	12	13	12
6338249	11	10	12	11	18	10
170099	14	13	9	13	10	10
3157688	9	13	11	13	16	13
307496	11	14	9	11	18	11
5324520	12	14	9	12	10	9
3987875	9	13	12	15	13	11
2309883	12	14	11	17	20	11
1447678	16	16	10	17	18	10
304338	12	11	11	9	16	14
3921894	12	15	11	12	14	10
5383037	13	9	11	10	12	10
4736486	13	15	9	16	18	9
6449177	9	17	9	13	16	12
775429	10	12	10	16	17	9
1432765	10	13	9	14	15	9
2453820	11	15	12	17	18	9
2686731	13	11	10	11	10	9
2225773	11	13	9	14	15	14
3886797	12	15	10	14	12	10
3966742	15	15	9	11	13	10
