TARA_146	TARA_147	TARA_148
843098	63	32	50
5191166	85	38	53
4980667	78	18	51
481397	42	12	41
369147_1	65	15	38
369147_2	65	15	38
3119521	30	15	27
2991900	55	12	34
2588650	23	11	17
2570657	31	13	16
1938141	22	13	17
1103627_1	68	15	75
1103627_2	68	15	75
1097816	58	21	50
4354490	36	13	30
5869002	70	20	61
2949385_1	39	10	29
2949385_2	39	10	29
2234659_1	56	22	33
2234659_2	56	22	33
5503394	91	39	66
2420078	41	12	41
3839809	28	12	24
3763774_1	50	14	47
3763774_2	50	14	47
673819	63	23	52
1030861	81	33	89
1443814	70	23	63
4022371_1	34	20	37
4022371_2	34	20	37
2299958	22	9	19
1746913	64	23	52
5005372	58	28	43
6059637_1	25	11	22
6059637_2	25	11	22
471414	37	16	29
1143506	83	35	84
1339256	70	23	66
9763	83	21	74
6224860	23	11	27
1537580	35	16	19
6375407	81	25	56
6483427_1	26	13	25
6483427_2	26	13	25
6099692	75	24	66
510393_1	37	12	28
510393_2	37	12	28
1933929	35	17	33
2518244	40	14	30
5948863	67	31	57
428273	70	17	73
1714767	77	26	59
3128211	52	19	47
5945077	44	12	28
5325178	70	20	53
6765791	63	9	41
2855306	91	25	72
466286	25	10	16
4046932	28	11	17
5446014_1	34	10	42
5446014_2	34	10	42
1178600_1	27	16	26
1178600_2	27	16	26
5456787	36	12	37
1419231	46	20	41
4466731	36	12	26
5202981	29	18	22
2054690_1	27	20	25
2054690_2	27	20	25
5908890	70	21	54
1694296	52	19	48
2318756_1	51	12	37
2318756_2	51	12	37
5303029_1	42	13	29
5303029_2	42	13	29
5303029_3	42	13	29
690086_1	27	16	30
690086_2	27	16	30
690086_3	27	16	30
2666046	21	12	23
1401834	67	28	52
942714	39	10	45
6558105	40	17	25
4724147	41	13	24
2516241	21	10	24
3420118_1	69	23	58
3420118_2	69	23	58
2653779	49	14	29
2933142	20	10	17
2302449	20	10	21
2378067_1	55	22	55
2378067_2	55	22	55
1530376	74	33	60
4751101	30	15	26
377500_1	60	19	61
377500_2	60	19	61
3627543_1	28	16	25
3627543_2	28	16	25
2006395	54	10	47
6316193	40	15	51
3060048	63	16	55
3642540_1	23	14	29
3642540_2	23	14	29
262316_1	73	20	48
262316_2	73	20	48
262316_3	73	20	48
2191507	54	23	31
6553577	26	10	22
5743893	55	16	37
2597767_1	82	20	64
2597767_2	82	20	64
5703961	63	15	51
258239	30	12	30
1801542_1	37	16	44
1801542_2	37	16	44
5312864	30	12	33
1411035_1	55	20	49
1411035_2	55	20	49
1411035_3	55	20	49
4732082	31	12	26
6421811	31	10	16
2131388	40	16	20
2671383	47	11	50
4623638	29	13	39
4587845	59	30	61
5129818	24	16	19
2334372	46	25	35
598373	78	27	48
2231353_1	41	15	31
2231353_2	41	15	31
5342829	52	17	51
839332	53	12	40
3989737	46	13	41
5311874	43	12	48
1594009	53	17	55
6377210	93	26	60
1756413	41	10	44
990343	47	25	55
5487219	23	12	17
1355144	35	13	32
5740391	36	17	43
5593193	22	13	21
1045835	67	25	49
3807770	78	32	88
6217689	57	26	41
4247052	60	26	41
2667515	84	33	76
5762265	60	25	53
2342581	50	21	49
6921196	92	18	64
157105	51	21	43
6799560	44	17	33
4783618	41	9	21
2841455	23	11	21
1204163_1	70	17	56
1204163_2	70	17	56
180900_1	33	14	33
180900_2	33	14	33
3193219	49	26	56
5334325	65	17	60
5750033	34	10	32
2054507_1	59	24	41
2054507_2	59	24	41
7114058	34	15	38
4228447	34	17	31
5737551	65	14	45
4176574	56	18	56
4988961	23	12	22
6528485	61	16	40
2877554	72	25	56
3252238	50	23	43
2146684	62	32	54
1390836	71	21	44
5563763_1	72	28	59
5563763_2	72	28	59
3774865	78	30	82
1708705	55	11	47
2883740_1	69	21	49
2883740_2	69	21	49
2904459	40	12	37
646460	48	18	60
3347205_1	25	10	28
3347205_2	25	10	28
6945467	26	13	23
5811122	56	26	45
5793214	44	18	29
321917	30	17	32
6230662	45	17	37
2594103_1	45	27	51
2594103_2	45	27	51
2594103_3	45	27	51
1036280	60	27	68
2919949_1	47	16	45
2919949_2	47	16	45
6188719	36	19	43
1375224	42	10	42
954020	46	13	28
6331562	35	11	26
3161383	46	13	30
6298834_1	55	16	44
6298834_2	55	16	44
4195831	28	12	26
4902890	66	17	46
5705980	29	18	24
6972076	72	15	61
143781	26	16	27
660861	47	17	27
5438347	60	21	62
3292202	87	34	73
1086483_1	53	29	46
1086483_2	53	29	46
3714588_1	46	13	26
3714588_2	46	13	26
5389151	29	11	19
5178822	67	27	45
5036678	45	13	38
7006657	27	11	27
1300036	58	11	42
3563684	68	24	64
1688505	30	12	25
6689884	26	15	25
1294569	70	25	51
3835833_1	82	24	64
3835833_2	82	24	64
1564583	74	25	68
6795634_1	57	17	54
6795634_2	57	17	54
2708451	29	12	43
6490251_1	86	32	70
6490251_2	86	32	70
6490251_3	86	32	70
5570655	29	17	24
310245_1	38	25	38
310245_2	38	25	38
1060067	33	13	24
337720	54	14	53
2341409	29	9	20
6337689	20	9	23
6882310	33	13	23
3282721	92	28	80
6059309	62	18	54
1043321_1	62	23	43
1043321_2	62	23	43
1043321_3	62	23	43
5393582	69	23	58
5426484	22	11	17
6620057	61	25	53
2567314	47	15	39
5534278	46	12	37
2991097	37	18	41
1367527	73	35	60
1601384_1	34	14	28
1601384_2	34	14	28
374421	48	14	38
6042257_1	72	32	53
6042257_2	72	32	53
6042257_3	72	32	53
5128092	49	15	30
2620934	67	17	67
901746	58	16	36
1154291_1	32	14	18
1154291_2	32	14	18
3389223	46	14	23
1323643	54	17	26
752395	35	15	25
793295	61	30	67
5882990	24	10	23
5757708_1	48	20	34
5757708_2	48	20	34
6856469	31	10	23
443524	43	11	41
5844479_1	74	28	61
5844479_2	74	28	61
4230316	44	9	37
184063_1	63	24	61
184063_2	63	24	61
3499169	33	18	29
3329288	53	23	29
942935	55	15	29
4415023	51	22	46
1151210	89	37	64
4745811	32	17	36
912486	53	10	40
6250955	31	15	25
1225082_1	60	25	53
1225082_2	60	25	53
913128	36	15	26
216474	50	16	31
6898029	47	17	33
6513779_1	31	16	32
6513779_2	31	16	32
6513779_3	31	16	32
2405895	47	15	44
9415	96	17	82
2756441_1	52	16	45
2756441_2	52	16	45
5021798_1	78	35	82
5021798_2	78	35	82
3039121	91	27	87
6025593	78	28	60
238121	95	41	75
3592658	34	10	23
705591	53	26	43
6167011	43	14	49
160005	27	15	28
4172999	28	10	25
2762308	38	10	20
6379393_1	46	17	49
6379393_2	46	17	49
6379393_3	46	17	49
308176	25	22	32
2766742	79	20	52
3425502	28	12	30
2541744	32	13	24
1389992	81	24	55
5037479	91	29	66
355402_1	94	35	78
355402_2	94	35	78
