TARA_142	TARA_146	TARA_147
935840	13	19	24
928024	16	15	17
902123	15	20	26
856886	14	19	24
830271	9	16	23
738078	18	14	19
71436_1	11	13	21
71436_2	11	13	21
6616565_1	13	14	18
6616565_2	13	14	18
6614032_1	12	13	21
6614032_2	12	13	21
6592682	10	14	21
6590041	11	12	15
6589340	13	15	23
6581333_1	17	20	21
6581333_2	17	20	21
6550569	14	18	23
6545961_1	16	14	22
6545961_2	16	14	22
6545538	15	13	17
6543716	14	18	24
6540450_1	16	18	16
6540450_2	16	18	16
6520463	13	13	22
6482112	13	20	20
6465572	17	17	18
6441697_1	15	18	21
6441697_2	15	18	21
6419228	11	13	20
6415232	14	16	21
6415191	14	16	16
6412243	13	13	16
6410446	11	11	24
6381918	15	13	23
6320295	13	21	23
6310956	10	16	17
6309678	9	13	24
6302734	11	18	18
6293454	16	15	23
6283914	15	18	27
6277249	10	17	22
6270664	12	22	25
6267169	13	13	25
6260768	16	17	18
6247736	12	16	24
6247247	17	22	23
6229417	12	13	19
6222368	11	14	19
6210606	18	19	22
6205217	10	19	22
6201570_1	17	18	15
6201570_2	17	18	15
6183543	16	13	19
6176396	10	13	18
6175883	10	15	20
6161845	13	16	21
6161571	15	19	20
6131005	11	16	19
6125451_1	11	12	24
6125451_2	11	12	24
6123925	11	17	24
6123823	16	16	18
612184_1	15	14	22
612184_2	15	14	22
6117107	15	14	20
611654	13	10	21
6109840	10	19	22
6097513	13	16	19
6091603	11	15	20
6088922	11	13	20
6083895	12	17	20
608143	11	15	27
6073037	11	14	22
6050633	13	12	19
6044529	13	14	21
6040429	10	16	21
600756	13	16	16
600606	15	20	24
5999494	16	19	20
5996893	14	13	23
5994404	11	14	17
598437	14	12	17
5963330	16	13	18
5959908	12	22	26
5942923	11	20	26
5918162	9	12	21
5901478	15	17	20
5898895	10	15	18
5876838_1	13	11	27
5876838_2	13	11	27
5873465	11	13	21
5868677	18	17	19
5858191	14	13	22
5819236	15	16	20
5801068	14	15	18
5797409	12	19	21
5795483	14	21	24
5790792	13	17	23
5778513	13	16	27
5768040	16	16	20
5763156	13	15	23
5751429	13	11	21
5739224	13	14	18
5710253	11	10	19
5702115_1	10	18	23
5702115_2	10	18	23
5693319	13	14	23
5647312	14	14	27
5616052	11	12	20
5586107	10	19	20
5585726_1	14	13	21
5585726_2	14	13	21
5585726_3	14	13	21
5585288	12	14	19
5581416	10	14	25
5578230	9	14	24
5576420	15	20	27
5568833	12	21	18
5568171	11	15	21
5558797	12	12	21
555085	10	11	17
5544816	13	14	24
5514687	17	15	20
5500149	13	18	23
5500045	14	17	24
5481049	13	14	21
5476122	12	14	16
5475950	12	17	19
5472120_1	17	15	23
5472120_2	17	15	23
5467384_1	13	14	17
5467384_2	13	14	17
5457186	15	16	23
542914	10	15	27
5422261	14	21	26
5421948	12	17	20
5417066	11	12	25
5411708_1	10	12	17
5411708_2	10	12	17
5399753	14	12	20
5395222	13	15	22
5379923_1	16	18	23
5379923_2	16	18	23
5372942_1	12	17	20
5372942_2	12	17	20
5372016	12	22	19
5362428	10	19	26
5359938	15	10	22
5352155	10	21	21
534977	18	17	26
5346686	9	13	22
5338588	13	15	22
5316060	12	21	19
5315408	14	14	18
530433	14	13	27
5301272_1	16	19	23
5301272_2	16	19	23
5301272_3	16	19	23
5295153	10	12	21
5294339	14	17	16
5287188	11	18	25
5284967	15	14	21
5259208	15	12	25
5257008	10	15	23
5255522	14	16	18
5250252	14	17	16
5241664	14	15	23
5226352	13	14	18
5219835	12	14	24
5207751	13	12	25
5174433	9	17	25
5157860	18	12	17
5118544	10	19	15
5065230	16	14	20
5058642	11	16	18
5045541	15	15	23
5021231	11	16	27
5019120	11	22	24
5004783	16	10	17
5002998	12	15	18
4941996	15	11	24
4909489	12	18	23
4902115	9	13	18
4872617	16	13	24
4863207	10	12	19
4858844	15	16	19
4852475	14	15	24
4848369	15	13	23
4815563_1	12	13	22
4815563_2	12	13	22
4787746	13	21	25
4776912	14	13	17
4771084	9	18	22
4761192	10	13	20
4737336	16	14	23
4725517	12	17	19
4725245	12	13	20
4723950	13	12	18
4719783	11	14	19
4709569	13	19	26
4708858	11	15	19
4706612	10	11	22
4703956	10	18	20
4698170	17	17	20
4680899	18	12	24
4678036	9	20	22
4671131	10	15	24
4670411	14	15	25
4669374	15	15	15
4662679	16	16	18
4656906	14	12	23
4653538	15	16	17
4637854	10	19	24
4619703	15	18	22
4616727	9	15	22
4613910	11	14	24
4553335	11	14	20
4549178	12	10	20
4546336	14	16	19
4520005	12	18	19
4505203	15	16	16
45049	13	12	19
4504458	17	14	25
4498167_1	11	10	18
4498167_2	11	10	18
4498167_3	11	10	18
4488283	11	11	24
445044_1	13	11	19
445044_2	13	11	19
4428298	12	18	16
4418464_1	16	22	23
4418464_2	16	22	23
4389054	13	13	26
4344901_1	16	11	22
4344901_2	16	11	22
4341390	9	14	21
4301979	13	18	27
4278211	9	13	24
4268441	10	18	15
4265547	16	14	23
4265329	11	17	20
4254161	13	19	23
421569	13	12	19
4208536	14	11	23
4190080	15	15	16
4188761_1	10	15	23
4188761_2	10	15	23
4179906	14	21	20
4163298	10	16	18
4144850	17	17	17
4137071	14	13	25
4133919	14	14	25
4125985	11	10	21
4106515	12	19	25
4106428	13	21	20
4091675	13	17	24
4089396	13	13	21
4086426	18	17	23
4085352	16	15	22
4060853_1	16	14	17
4060853_2	16	14	17
4056241	15	13	25
4050884	13	14	20
4049669	14	10	22
4025820	10	15	24
3993877_1	10	17	16
3993877_2	10	17	16
3990242	12	21	25
3984521	10	13	21
3977618	10	12	22
3963605	9	15	24
3961677	14	18	19
3939848	15	14	27
3939514	13	18	20
3933518	11	15	23
3891709	14	20	23
3876317	13	16	17
3874053	10	13	22
3871947_1	16	15	23
3871947_2	16	15	23
3868959	15	22	22
3866492_1	9	15	19
3866492_2	9	15	19
3834584	14	12	24
383441	15	18	18
3831743_1	12	14	25
3831743_2	12	14	25
3819787	14	17	26
3816569_1	17	18	22
3816569_2	17	18	22
3805776	12	18	21
3790585	16	14	23
3781367_1	13	21	25
3781367_2	13	21	25
3775828_1	10	20	20
3775828_2	10	20	20
3772663	10	20	23
3767273	11	20	17
3760448	10	16	20
3755121	13	17	24
3744190	11	20	20
3736954	13	13	25
370864	11	17	17
370241	14	19	24
3687215	10	20	23
368016	10	15	19
367446_1	10	16	24
367446_2	10	16	24
3632238	13	16	26
3619305	15	14	21
3613820	14	18	17
3559202_1	13	12	20
3559202_2	13	12	20
3559202_3	13	12	20
352483_1	9	20	21
352483_2	9	20	21
3513602	16	11	21
3513415	17	18	16
3511655_1	12	17	24
3511655_2	12	17	24
3503111	12	13	21
3480584	11	12	17
3475917_1	17	19	18
3475917_2	17	19	18
3459490_1	14	16	21
3459490_2	14	16	21
3437723	13	11	22
3428208	10	16	18
3424758	9	13	24
3423471	13	11	18
3406662	17	16	24
3403889	11	12	22
3393002	11	12	16
3372319	14	14	17
3367017	11	16	24
3357910	12	13	18
3334216	15	10	23
3286799	14	16	22
3218049	15	21	23
3211308	11	17	17
3202752_1	15	17	16
3202752_2	15	17	16
3193712	15	14	21
3183076	9	15	22
3170659	15	13	23
3154189	10	16	22
3125243	11	15	22
3116393	12	19	21
3114409	10	22	21
3095120	16	21	22
3093230	15	14	17
3084476	13	21	22
3059939	13	12	17
3045799	11	13	15
3015767	15	17	22
3015580	11	14	17
2988881_1	17	13	21
2988881_2	17	13	21
2975726	17	11	18
2944653	16	18	26
292658_1	10	15	20
292658_2	10	15	20
2898355	12	13	23
2895317	16	19	25
2889969	14	12	26
2868308	15	12	24
2854047	10	10	20
2836183	9	11	19
28346_1	13	18	21
28346_2	13	18	21
2830489	10	20	18
278566	16	16	21
2783814	14	15	16
2781483	11	14	21
2778493	15	22	24
2776786	9	12	26
2756652	9	12	24
275535	14	13	25
274037	9	14	17
2738896	11	18	22
2716885_1	11	18	17
2716885_2	11	18	17
2707819	14	16	19
2688032	15	13	21
2687277	9	16	21
2686437	15	14	27
2665983	14	16	19
2662891	12	11	24
2643552_1	13	21	20
2643552_2	13	21	20
2633872	12	15	20
2616900	11	12	20
2601200	10	19	25
2596597	15	14	17
2593286	14	16	20
259205	13	13	22
2570550_1	11	17	18
2570550_2	11	17	18
2550742	18	19	26
254918	11	11	19
2527762_1	13	14	21
2527762_2	13	14	21
251751_1	11	17	23
251751_2	11	17	23
2503034	10	13	25
249981	9	21	23
2479172	14	14	20
2478691	11	18	24
2419591	12	18	16
2416423	13	13	20
2413786	13	12	21
2391984	12	20	24
2375110	13	15	18
2368161	11	21	19
232011	9	15	20
2313293	13	21	21
2291657	14	12	16
2255830	15	13	20
2253741	12	14	19
2172712	10	15	18
2083733	11	13	19
2082745	15	12	20
2077680	14	13	21
2068150	13	18	25
2057073	10	12	20
203433_1	12	20	16
203433_2	12	20	16
2029501	14	20	21
2012669	11	21	16
2011029	14	19	17
2006722	10	17	16
1953536	14	18	17
1932994	18	10	22
1920908	14	18	18
1917578	13	19	18
1910473	11	15	18
1885136_1	12	15	27
1885136_2	12	15	27
1881844	11	10	18
1877293	14	13	18
1874692	14	21	18
1874470	12	19	16
1874271_1	10	13	16
1874271_2	10	13	16
1870005	11	12	23
1851559	14	13	26
1827784	11	18	22
1807913	13	16	27
1800821	12	15	17
1773268	9	15	16
1759981_1	12	22	24
1759981_2	12	22	24
1753923	17	17	18
1739399	10	14	15
1731573	14	19	22
1715166	13	21	22
1714977	9	15	18
1714554	10	14	25
1706930_1	10	16	18
1706930_2	10	16	18
1698726	15	13	18
1690115	15	16	22
1680939	13	19	22
1634721	11	21	19
1574502	15	11	22
1557975	14	15	23
1539040	12	14	20
1523860	15	19	26
1507905_1	12	15	19
1507905_2	12	15	19
1507905_3	12	15	19
1501698	11	17	17
1468029_1	13	17	22
1468029_2	13	17	22
1467770	14	18	20
1447648	14	17	19
1447374	15	19	15
1434615	13	15	22
1416348	13	13	27
1414708	13	21	19
1393467	11	11	18
139223	17	20	21
1388263	9	12	17
1387290	9	17	19
1377358_1	16	13	17
1377358_2	16	13	17
1377358_3	16	13	17
1375200	14	16	21
1372232	16	12	18
1358492	16	13	22
1336959	16	13	17
1309715	15	19	25
1286028	15	15	23
1280993	14	14	20
1276249	13	14	18
1273379	12	15	24
1229509	17	16	20
1228546	15	14	27
1206059	11	18	15
1192737	16	13	22
1156244	14	14	17
1153792	17	14	27
1148739	12	22	22
1112314	14	16	19
1092935	12	12	19
1091540	15	15	22
108158	15	11	24
1044652	11	13	20
1030764_1	13	10	16
1030764_2	13	10	16
1016247	16	20	20
4883768	13	16	23
5246526	13	15	20
3861350	17	14	26
6007684	14	13	26
5404864	10	14	25
2674464	13	13	19
2498260	11	12	24
4226211	10	11	20
3190134	11	12	17
549520	9	13	23
3396483	15	22	23
6247286_1	12	12	21
6247286_2	12	12	21
6415494	10	10	25
260227	16	18	17
3132469	18	18	26
5428990	14	18	22
2893004	11	15	22
6588662	17	16	26
427755_1	12	19	20
427755_2	12	19	20
427755_3	12	19	20
1821121	16	13	24
6427969	13	12	17
2813287_1	14	16	20
2813287_2	14	16	20
4973572	13	17	17
4412976	13	16	17
4756979	14	16	20
1939495	14	14	15
3532365	18	11	23
6510148	13	18	19
855490	9	17	25
428620_1	11	17	22
428620_2	11	17	22
2331610	10	20	20
3134820	12	18	22
6195199_1	14	15	23
6195199_2	14	15	23
295986	15	22	23
2044699	9	15	21
6386649	10	20	25
3212009	16	11	23
5495543	13	13	15
4761405	15	19	18
2385092	16	19	21
5938364	15	11	16
3684929	13	18	21
3422710	12	13	21
5408177	13	11	22
4887131	10	16	19
2640609	11	18	15
1101589_1	17	17	25
1101589_2	17	17	25
4909506	9	11	19
1112131	16	13	20
4750955	10	16	22
2567780	13	21	25
4087843	10	17	23
2540767	13	13	19
4720534	13	12	22
4379787	11	19	26
6003311	16	12	17
3636422	16	19	18
1302873	12	11	25
1263039	11	15	18
4083837	11	20	20
2845003	13	22	23
2719715	15	14	24
1632593	14	14	16
2470627	10	22	21
2090075	12	13	23
4270218	12	12	17
4510399	12	14	16
3413325	13	18	20
4799886_1	13	18	16
4799886_2	13	18	16
1371336	16	16	22
5087892	9	13	24
3570776	11	20	24
3934504	9	17	15
2106642	13	16	26
2858309	13	17	15
1979360	13	11	22
1818591	15	12	25
6488570	10	15	21
3642629	9	14	23
4628152	11	14	27
3885813_1	15	16	24
3885813_2	15	16	24
2303588	13	15	19
1396627	10	15	17
1751842	14	19	26
4666707_1	16	15	25
4666707_2	16	15	25
5389457	12	13	23
3414330_1	15	19	22
3414330_2	15	19	22
6168219	14	14	17
2388476	10	15	15
4542430_1	17	11	20
4542430_2	17	11	20
4542430_3	17	11	20
2939803	9	16	25
4276070	13	12	15
3276125_1	14	15	27
3276125_2	14	15	27
2168304	15	19	18
6539157	17	19	25
2482760	10	19	21
4683744	12	13	19
1554462	10	17	17
4673381	14	14	17
2071554	13	16	21
1187041	10	16	25
3612445	9	16	18
4028515	10	13	20
3427933	11	14	15
2042888	11	16	18
5746477	13	19	21
6394074	16	15	27
3067320	10	17	16
3357558	11	16	19
5957418	15	11	16
5682333	17	16	18
3014744	12	11	15
1429697	12	11	17
3116392	11	12	18
4151343	17	19	25
5847360	15	11	22
6238830	12	17	17
6110747	17	11	17
5393496	13	19	22
1367427	9	18	26
6578713	13	19	20
4407616	11	16	18
6547678	12	15	23
3550721	13	21	22
6018189	16	12	17
1303577	12	18	27
5397124	13	17	25
5335670	10	12	17
5683026	9	15	26
967315	12	22	20
1388108	16	20	18
3546607	15	13	25
2549831	16	13	21
6461533	14	12	19
4764915	15	20	17
657153	13	19	23
4949561	14	14	18
6168732	14	12	19
6016908	12	13	27
6326073_1	15	22	24
6326073_2	15	22	24
4553075	12	18	19
4019355	14	10	16
564091_1	11	20	25
564091_2	11	20	25
1665492_1	13	18	21
1665492_2	13	18	21
2297368	13	13	25
3045800	12	14	21
6394906	13	14	17
3095455	11	17	23
2055741	12	12	20
1652868	12	15	22
1408447	17	15	24
5343015	14	13	16
3821280	15	17	25
4304046	11	22	21
3101613_1	14	16	23
3101613_2	14	16	23
2745040	18	16	16
4638305	15	17	23
1730697	10	16	26
188187	10	11	23
2699275	9	11	26
1451059	15	11	21
4887991	11	16	19
2792809	15	10	23
4432293	13	15	17
4282971	17	16	21
3417273	14	12	22
5681256	14	15	24
1054646	13	19	18
4367080	13	19	21
6582120_1	14	10	15
6582120_2	14	10	15
1213217	16	13	23
2454257	17	16	24
5131201	15	17	22
2699555	16	14	18
4170235	13	15	25
2557995	11	16	21
315995	17	11	18
834139	10	15	17
4771666	9	15	16
5655710	12	15	23
1861720	11	17	27
4772711	11	14	24
1801335	13	13	25
3618279	13	15	27
2391604	12	10	21
1784366	15	12	24
1698848	17	16	21
1075119	15	18	20
3545802	13	10	23
6264395	11	13	19
4251087	18	20	23
2202238	13	16	24
4535950	12	21	21
5982808	14	14	22
176423	11	15	20
200111	16	14	25
454082	13	11	16
1362308	12	16	18
5123474	14	14	24
6328671	15	15	22
3041618	16	13	21
6061616	12	14	26
3769801	17	16	19
3940587	12	15	20
5815173	14	13	21
3120471	11	15	15
3475631	12	21	26
4712227	14	15	16
1984932	11	12	23
3847903	11	18	23
2095516	9	20	21
2141472	13	13	20
4323159	16	18	23
3258798	11	20	24
3876731	14	12	25
1703506	12	15	21
3739120	15	18	21
4056005	12	16	24
3875832	13	16	18
6010852	11	18	24
735886	15	11	21
3936436	13	20	22
3744865	16	15	19
2838794	14	19	27
3663366	15	19	24
3225818	15	17	25
1730417	17	17	25
4485891	14	16	26
6051973	17	13	22
3189893	10	14	19
6081974	13	15	22
4604761	12	14	18
2437258	13	20	18
4510987_1	14	16	18
4510987_2	14	16	18
4030675	12	19	22
5389643	16	19	26
4120990	10	17	20
2535545	10	14	23
4952865	18	12	23
5901353	13	12	25
4801725_1	11	16	17
4801725_2	11	16	17
214314_1	11	15	22
214314_2	11	15	22
5383044	14	12	18
3870237	10	15	21
6323560	12	14	16
4636658	14	18	23
4568681	10	16	26
5581926	16	12	22
3665861	11	19	16
178366	18	13	22
3887412	16	15	17
321291	11	14	21
380029	14	18	23
4022546	13	16	19
3003121	13	18	21
3816378	10	14	18
5384901	14	21	21
5735320	17	14	15
3953926	17	17	25
3398953	17	19	20
4697645	14	14	23
6120899	9	13	22
878429	13	18	24
2392037	14	16	26
6152822	12	20	18
1095759	13	12	19
6147291	15	16	25
5018136	12	15	22
3794853	10	14	24
5895961	18	17	25
6395514	16	15	23
1391663	13	13	23
563889	14	16	17
3792235	17	12	15
5339691	10	10	20
5653680	13	17	18
3556153	18	13	24
446006	12	18	27
1939625	12	15	24
1308584	11	16	20
4182317	13	21	18
6433764	13	17	25
6198890	9	17	18
2273004	16	15	18
2263651	15	19	21
3798128	16	15	24
1011268	11	18	24
4280891	12	20	26
6041202	17	16	18
452778	12	22	25
4993957	16	14	26
1635424_1	12	18	23
1635424_2	12	18	23
4951731	14	21	19
4595440	13	18	20
1602377	12	14	19
5416632	13	15	19
4329554	13	16	17
6539942	13	14	21
4113319	12	14	24
2757176	9	22	23
4705519_1	16	20	22
4705519_2	16	20	22
5356437_1	18	14	22
5356437_2	18	14	22
4558825	12	22	18
6480502	12	15	20
2440132	14	12	27
2786260	11	13	23
5933843	15	18	22
937647	9	17	22
6271635	13	11	20
5403731	17	12	24
1302596	14	14	19
5593199	10	16	21
4747666	11	15	17
4406723	11	16	20
3876252	10	15	25
3293469	14	16	19
6515163	11	15	26
4679571	12	11	18
4303956	13	18	25
4307680	14	17	23
5093842	14	14	22
624424	12	12	18
6149119	10	18	15
1637583	14	18	18
6384300	15	16	24
6032423	13	19	25
1572014	9	18	23
5050852	11	18	22
4451817	15	13	25
1451155	15	15	24
3022527	14	18	22
1988253	9	19	23
4737464	13	22	25
6304097	13	15	17
1896865	13	13	24
3283657	14	13	25
1119182	15	14	19
4187638	13	13	17
5789681	17	11	22
3465487	12	13	22
4707119	18	16	21
4033642	14	15	21
367328	17	18	17
5424374	17	18	25
6448935	9	21	25
403456	15	11	21
4183635	10	18	18
1637055	16	18	26
2322411	13	15	23
2916925	14	19	20
1914699	10	12	24
1659410	14	12	21
5269035	16	19	22
156581	15	18	23
6001723	13	18	20
3534338	18	20	24
1524328	15	17	26
1705321	13	19	23
5741243	14	22	24
4665749	10	19	22
3415483	13	18	18
6181308	15	18	18
6153618	10	15	23
3800684_1	11	17	24
3800684_2	11	17	24
6516108	12	21	23
6171416	14	21	21
5266853	13	13	18
4193064	11	19	22
6544109	18	21	19
3056124	16	21	23
1360416_1	13	21	22
1360416_2	13	21	22
3424597	15	18	17
5846847	14	16	24
3387561	12	14	22
212700	14	16	26
1534204	18	16	24
6163698	10	17	24
4176406	14	11	20
1575011	13	20	27
2980436	13	19	23
3215570	11	19	26
5567612	17	16	24
1184209	10	15	21
1736047	11	17	26
2448087	10	21	18
5456255	16	18	25
2589986	17	15	19
6152684	9	13	24
6154027	18	14	21
921970	15	19	19
4634232	11	20	21
3857893	13	17	19
2939152	17	20	22
337429	13	21	22
4248612	9	16	22
1366803	11	16	27
3622151	11	16	27
2893253	14	18	23
817883	15	22	19
6123772	11	18	21
6519600	11	22	22
3832043	11	22	20
4235597	18	15	19
3580126	13	22	20
213885	17	21	20
2385643	13	10	22
5466712	15	14	24
2247950	11	15	22
2545018_1	15	16	24
2545018_2	15	16	24
3881890	9	16	19
5989751	10	14	20
3194217	13	13	24
1614869	15	17	25
193121	11	16	21
6155175	15	19	23
