TARA_82	TARA_83	TARA_84	TARA_85
4912964	0	1	0	0
2525662	0	1	0	0
2036106	1	0	1	1
3623120	0.0294117647058824	1	1	1
1219366	0	0.0303030303030303	0.970588235294118	1
4452108	0	0.964285714285714	0	0
1231245	0	0.952380952380952	0	0
5162750	0.0714285714285714	1	0	0
3652521_1	0	1	0.0196078431372549	0
3652521_2	0	1	0.0196078431372549	0
227665	1	0	0.978723404255319	1
5208338	1	0	0.973684210526316	0.992592592592593
5496252	0.0588235294117647	0.96551724137931	0	0
2803055	0.933333333333333	0	0	0
2404090	0.1	0	1	0.992125984251969
8253	1	0.0740740740740741	1	1
3952100	0	0.923076923076923	0	0
220267	0.818181818181818	1	0.0232558139534884	0
3983098	0	0.916666666666667	0	0
2322091	0	1	0	0.018348623853211
3451788_1	1	0.0810810810810811	1	1
3451788_2	1	0.0810810810810811	1	1
4598262	0.363636363636364	1	0	0
965482	0	0	0.909090909090909	0.990825688073395
1711027	0	0.95	0.02	0
1288144_1	0	0.96551724137931	0.0454545454545455	0
1288144_2	0	0.96551724137931	0.0454545454545455	0
6205215_1	1	0.0344827586206897	1	0.986013986013986
6205215_2	1	0.0344827586206897	1	0.986013986013986
2562639	0.4	1	0	0
801890	0.0204081632653061	0.928571428571429	0	0
2168383	1	0.107142857142857	1	1
5432660_1	0.976190476190476	0.148148148148148	0	0
5432660_2	0.976190476190476	0.148148148148148	0	0
2375099	0	0.882352941176471	0	0
2463517	0	0.875	0	0
378804	1	0.0434782608695652	1	0.982758620689655
6495208	0	0.878787878787879	0	0
5652218	1	0.125	1	1
6082258	0.111111111111111	0.96	0	0
2227514_1	0.130434782608696	1	1	1
2227514_2	0.130434782608696	1	1	1
6357436	0	0.75	1	1
4933078	1	1	0.176470588235294	0.0347826086956522
560186	0.113207547169811	1	0.979166666666667	1
2671012	1	0.138888888888889	1	1
3569796	0	0.851851851851852	0	0
3547172	1	1	0.0975609756097561	0.00840336134453781
952241	0	0.869565217391304	1	0.983606557377049
327502	0.825	1	0.0434782608695652	0
869699	1	0.15	1	1
3782803	0.166666666666667	0.0344827586206897	1	1
666010	0.15	1	1	1
2112247_1	0.964285714285714	0.935483870967742	0.181818181818182	0.00900900900900901
2112247_2	0.964285714285714	0.935483870967742	0.181818181818182	0.00900900900900901
970558	0.814814814814815	0	1	1
4970842	0	0.833333333333333	0	0
2831662_1	1	0.185185185185185	0	0.0277777777777778
2831662_2	1	0.185185185185185	0	0.0277777777777778
2831662_3	1	0.185185185185185	0	0.0277777777777778
1267533	1	0.176470588235294	1	1
2982175	0.233333333333333	1	0	0
1381138_1	1	1	0.0784313725490196	0.0227272727272727
1381138_2	1	1	0.0784313725490196	0.0227272727272727
2919625	0.883720930232558	0.0645161290322581	0	0
4560870_1	0	0	0.916666666666667	0.94017094017094
4560870_2	0	0	0.916666666666667	0.94017094017094
4560870_3	0	0	0.916666666666667	0.94017094017094
6020731	1	0	0.942307692307692	0.978260869565217
3333522	0.8	1	0	0
555633	1	0.172413793103448	1	1
2290830	0.959183673469388	0.464285714285714	0	0
5332911	0.555555555555556	0.032258064516129	0.974358974358974	1
3637176	1	0	0.0416666666666667	0.0396039603960396
2825840	0	0	0.9	0.9453125
2382868	0.884615384615385	0	0	0.0134228187919463
1070562	0.871794871794872	0.0344827586206897	0	0.00813008130081301
3779361_1	0	0.928571428571429	0.75	1
3779361_2	0	0.928571428571429	0.75	1
2171734	0.0487804878048781	0.357142857142857	1	0.991869918699187
198826	1	0.192307692307692	1	1
4317500	1	1	0.0961538461538462	0.0593220338983051
4600830	1	0.2	1	1
5203955	0.80952380952381	0	0	0
2195334	1	0.206896551724138	1	1
1724092	1	0.206896551724138	1	1
5303390_1	0.0185185185185185	0	0.771428571428571	0.947916666666667
5303390_2	0.0185185185185185	0	0.771428571428571	0.947916666666667
91438	0.15	0.888888888888889	0.024390243902439	0
4201905	1	0.121212121212121	0.976190476190476	0.97979797979798
3787802	0	0.782608695652174	0	0
100134	0.833333333333333	0.0689655172413793	0.955555555555556	0.991596638655462
1361739	0.129032258064516	0.944444444444444	0.973684210526316	1
1453146	0.0444444444444444	0.857142857142857	0	0
5780905	0.113207547169811	0	0.909090909090909	0.957894736842105
5378160	0.161290322580645	0.91304347826087	1	1
2556127	0	0.857142857142857	0.0512820512820513	0
6554650	0	0.764705882352941	0	0
6016850	0.911764705882353	0	1	0.97979797979798
3026457	0.0263157894736842	0.80952380952381	0	0
284147	0.88	1	0.075	0.0540540540540541
4375540	0.0357142857142857	0.891891891891892	0.0701754385964912	0
1461572	0	0.771428571428571	0	0
4360546	0	0.76	0	0
5949721	0.878787878787879	0.0625	1	1
4140595	0.92156862745098	0	0.926829268292683	1
1870636	1	0.25	1	1
4677978	0.0714285714285714	0.96551724137931	0.0465116279069767	0.0315789473684211
5735002	0.186046511627907	0.909090909090909	1	1
1774513	0.0967741935483871	0	0.78125	0.953488372093023
5637768	0.944444444444444	0.125	0.935483870967742	1
5314616_1	0.794871794871795	0.0833333333333333	0	0
5314616_2	0.794871794871795	0.0833333333333333	0	0
53965	0.147058823529412	0.966666666666667	0.0666666666666667	0.0101010101010101
4400335	0.95	0.0909090909090909	1	0.972477064220184
4664512	0.963636363636364	0.173913043478261	1	1
1943120	1	0.08	0.939393939393939	0.978571428571429
545180	0.52	0	1	0.990476190476191
5229413	0.0526315789473684	0.904761904761905	0.0285714285714286	0.00833333333333333
5632557	0.944444444444444	0.136363636363636	1	0.991071428571429
1079198	0	0.8125	0	0.0166666666666667
1403163	0.5	0.05	1	1
6571698	0.75	0	0	0
940981_1	0.0909090909090909	0.916666666666667	0	0.0202020202020202
940981_2	0.0909090909090909	0.916666666666667	0	0.0202020202020202
983810	0.909090909090909	1	0.105263157894737	0.0298507462686567
2763665	0	0.739130434782609	0	0
5785237_1	0	0.736842105263158	0	0
5785237_2	0	0.736842105263158	0	0
1049540	1	0.258064516129032	1	1
5476854	0.961538461538462	0.0909090909090909	0.9	1
331876	0.967741935483871	0.153846153846154	1	0.983739837398374
4231208	0.96551724137931	0.166666666666667	1	0.991228070175439
3138226	0.111111111111111	0.96875	0.0652173913043478	0.032
172409	0	0.833333333333333	0	0.0232558139534884
4917966	0.0625	0.923076923076923	0.024390243902439	0.0165289256198347
5795092	0.258064516129032	1	1	1
2824757	0	0	0.948717948717949	0.905797101449275
3782338	1	0.269230769230769	1	1
1044382	0.944444444444444	0.2	1	1
5937317	0.142857142857143	0.896551724137931	1	0.971698113207547
3217681	0.261904761904762	1	1	1
1980598	0.173913043478261	0.956521739130435	0	0
5660553	1	1	0.138888888888889	0.0967741935483871
2880036	0.767441860465116	0.05	0	0
248511	1	0.28	1	1
2311275_1	0.239130434782609	0.956521739130435	1	1
2311275_2	0.239130434782609	0.956521739130435	1	1
3166476_1	0.137254901960784	0.9	0	0
3166476_2	0.137254901960784	0.9	0	0
6183481	0.947368421052632	0	0.923076923076923	0.971223021582734
1160533	0.181818181818182	0.933333333333333	0	0.0234375
2648288	0.0476190476190476	0	0.790697674418605	0.942028985507246
3036808_1	1	0.275	1	1
3036808_2	1	0.275	1	1
5003134	0	0.708333333333333	0	0
5166149_1	0.0681818181818182	0.807692307692308	0	0
5166149_2	0.0681818181818182	0.807692307692308	0	0
2427962	0.981481481481482	0.25	1	1
4333675	0	0.709677419354839	0	0
6361118	1	0.3	1	1
2171085	0	1	0.0689655172413793	0.0504201680672269
4203935	0.3125	0.0740740740740741	0.888888888888889	0.991071428571429
3249687	0.162162162162162	1	0.024390243902439	0.03125
3330247	0	0	0.807017543859649	0.938053097345133
1552529	0.75	0.954545454545455	0.0625	0.0336134453781513
5623909	1	0.304347826086957	1	1
5221076	0.9	0.175	1	0.977099236641221
3218109_1	0.736842105263158	0.037037037037037	0	0
3218109_2	0.736842105263158	0.037037037037037	0	0
6046137	0.705882352941177	0	0	0
4913724_1	0.5	0	0.939393939393939	1
4913724_2	0.5	0	0.939393939393939	1
3373928	0.117647058823529	0.931034482758621	0.216216216216216	0
2361752	1	0.166666666666667	1	0.968503937007874
1213499_1	0.24390243902439	1	1	0.982300884955752
1213499_2	0.24390243902439	1	1	0.982300884955752
1791789	0	0.730769230769231	0	0.00757575757575758
5231939	0.826086956521739	0.0476190476190476	0.934782608695652	0.99
591749	0.707317073170732	0	0	0
5276452_1	0	0.727272727272727	0	0.00746268656716418
5276452_2	0	0.727272727272727	0	0.00746268656716418
5276452_3	0	0.727272727272727	0	0.00746268656716418
1115567	0.9	0.2	0.974358974358974	1
1205858	0	0.689655172413793	0	0
4162153	0.72	0	0.0204081632653061	0
4184946	0.0208333333333333	0.733333333333333	0	0
5072901	0.666666666666667	0	0	0
154695	0.666666666666667	1	0.0571428571428571	0.036697247706422
4858353	0.884615384615385	0.233333333333333	1	1
4757251	0.130434782608696	1	0.138888888888889	0.0521739130434783
2657501	0.65	0.125	1	0.986754966887417
3259240	0.0740740740740741	0.818181818181818	0	0
1077342	0.354838709677419	1	0	0.00694444444444444
571558	0	0.6875	0	0
1233142_1	0.133333333333333	0.777777777777778	0	0
1233142_2	0.133333333333333	0.777777777777778	0	0
3271557	1	0.32258064516129	1	1
5801696	0	0.733333333333333	0.982758620689655	1
556485	0.222222222222222	1	0.0227272727272727	0.0303030303030303
4735117	0.268292682926829	1	1	0.982905982905983
1335352	1	0.333333333333333	1	1
4381654	0	0.666666666666667	0	0
2753845	0.642857142857143	0	0.866666666666667	0.974137931034483
2462267	0.787878787878788	0.0909090909090909	0.953488372093023	1
4867491_1	0	0	0.72972972972973	0.855855855855856
4867491_2	0	0	0.72972972972973	0.855855855855856
2505656	0.714285714285714	0.973684210526316	0.0909090909090909	0.062015503875969
1824983	0.84375	0	0.918367346938776	1
1060344_1	0.0178571428571429	0	0.765957446808511	0.87378640776699
1060344_2	0.0178571428571429	0	0.765957446808511	0.87378640776699
1060344_3	0.0178571428571429	0	0.765957446808511	0.87378640776699
1070275	0	0.666666666666667	0	0
2877137	0	0.666666666666667	0	0
1143801	0.037037037037037	0	0.65625	0.909090909090909
204882	0.4	0.181818181818182	0.980392156862745	0.985074626865672
4232786	1	0.352941176470588	1	1
424312	1	0.35	1	1
5680133	1	0.333333333333333	1	1
5388136	0.0357142857142857	0.952380952380952	0.06	0.0378787878787879
2391156	1	0.34375	1	1
6527002	0.673913043478261	0	0	0
345870	0.25	1	0.976744186046512	0.992805755395683
186294	0.0681818181818182	0.952380952380952	0.0465116279069767	0.0388349514563107
2906533	0.333333333333333	1	1	1
3823288	0	0.727272727272727	0	0.0163934426229508
5199185	0.64	0	0	0
3145866	0.526315789473684	0	1	0.948905109489051
1384522	0.918918918918919	1	0.172413793103448	0.121212121212121
4773382	0.292682926829268	0.958333333333333	1	0.991228070175439
2994160	0.04	0	0.847826086956522	0.876106194690266
1127521	0.295454545454545	0.928571428571429	1	1
4404929	0	0.648648648648649	0	0
4230353_1	0	0.642857142857143	0	0
4230353_2	0	0.642857142857143	0	0
3469228	0.166666666666667	0.903225806451613	0.888888888888889	0.991228070175439
3352362	0.28	0.962962962962963	0.0256410256410256	0.0163934426229508
4220248	0.325581395348837	0.95	1	1
5829302	0.272727272727273	0.111111111111111	0.933333333333333	0.962616822429907
1029936	0.257142857142857	0	0.970588235294118	0.91869918699187
