TARA_145	TARA_150	TARA_151	TARA_68	TARA_80
5585609	0	1	0.833333333333333	1	1
2052445	0	0.0784313725490196	0	0.818181818181818	0.90625
6491144	0.5	0	0	0	0
4116097_1	0.538461538461538	1	1	1	1
4116097_2	0.538461538461538	1	1	1	1
777153	0	0	0	0.142857142857143	0.521739130434783
5825741	0.4	0.0212765957446809	0	0	0
4064203_1	1	0.95	1	0.941176470588235	0.477272727272727
4064203_2	1	0.95	1	0.941176470588235	0.477272727272727
2617176	0	0.581395348837209	0.428571428571429	0.2	0.975609756097561
2050861	1	0.75	0.782608695652174	1	1
1818285	0.944444444444444	0.866666666666667	0.875	0.777777777777778	0.307692307692308
5629508	0.6	1	1	1	1
264883	0.5	0.982142857142857	0.972972972972973	1	0.975
6854641	0.333333333333333	1	0.9375	1	0.894736842105263
5639366_1	0.647058823529412	1	1	1	1
5639366_2	0.647058823529412	1	1	1	1
4524624	1	0.714285714285714	0.863636363636364	0.230769230769231	0.78125
5919660	0.428571428571429	0	0.04	0.166666666666667	0
1558093	0.833333333333333	0.744186046511628	0.72	0.444444444444444	0.259259259259259
5167250_1	0.666666666666667	1	1	1	0.976744186046512
5167250_2	0.666666666666667	1	1	1	0.976744186046512
5167250_3	0.666666666666667	1	1	1	0.976744186046512
5592333	0	0.2	0.108108108108108	0.133333333333333	0.0285714285714286
4756023	0.294117647058824	0.875	0.914285714285714	1	0.794117647058823
4655137	1	0.73469387755102	1	1	0.96969696969697
2120550	0.0833333333333333	0.707317073170732	0.8	0.8125	0.540540540540541
3870137	0	0.125	0.441176470588235	0.166666666666667	0.0263157894736842
6770084	0.909090909090909	0.929824561403509	0.647058823529412	0.636363636363636	0.857142857142857
6881107	0.8	0.634146341463415	0.576923076923077	0.181818181818182	0.27027027027027
3808582	0.214285714285714	0	0	0	0
1254421	0.266666666666667	0.435897435897436	0.115384615384615	0.636363636363636	0.578947368421053
2963106	0.666666666666667	0.653061224489796	0.666666666666667	0.916666666666667	0.261904761904762
4815212	0.133333333333333	0	0.138888888888889	0	0.303030303030303
