TARA_147	TARA_148	TARA_149	TARA_150	TARA_151	TARA_4	TARA_78
2266969	0.962962962962963	0.714285714285714	0.933333333333333	1	0.541666666666667	0.666666666666667	1
6139370	0.142857142857143	0.0769230769230769	0.25	0.222222222222222	0.5	0.454545454545455	0
1276935_1	0.0714285714285714	0.181818181818182	0	0	0.25	0	0
1276935_2	0.0714285714285714	0.181818181818182	0	0	0.25	0	0
1554668	0.578947368421053	0.0909090909090909	0.153846153846154	0	0.386363636363636	0.214285714285714	0.666666666666667
4912404	0.727272727272727	0.833333333333333	0.96	0.5	0.637931034482759	0.222222222222222	0.277777777777778
4756488	0.257142857142857	0.565217391304348	0	0.0909090909090909	0.340425531914894	0.272727272727273	0.363636363636364
439637	0.833333333333333	0.0833333333333333	0.153846153846154	0.384615384615385	0.4	0.666666666666667	0.428571428571429
7031044	0.620689655172414	0.466666666666667	0.777777777777778	1	0.882352941176471	0.5	1
5994742	0.444444444444444	0.6	0.764705882352941	0.833333333333333	0.5	0.538461538461538	0.133333333333333
2136699	0.470588235294118	1	0.782608695652174	0.333333333333333	0.822222222222222	1	0.8125
676996	0.7	0.666666666666667	0.941176470588235	1	0.704918032786885	0.444444444444444	1
1978314	0.333333333333333	0.526315789473684	0.0625	0.6	0.547619047619048	0.416666666666667	0
5460234	0.6	0.166666666666667	0.692307692307692	0.7	0.627906976744186	0.3	0.117647058823529
1296354	0.433333333333333	0.210526315789474	0.388888888888889	0.6	0.538461538461538	0.555555555555556	0.3
5040193	0.428571428571429	0.846153846153846	0.428571428571429	0.111111111111111	0.532258064516129	0.909090909090909	0.454545454545455
4174597	0.857142857142857	0.666666666666667	0.944444444444444	0.846153846153846	0.755102040816326	0.777777777777778	0.357142857142857
2391952	0.458333333333333	0.4	0.227272727272727	0.444444444444444	0.588235294117647	0.888888888888889	0.333333333333333
4399802	0.4	0.214285714285714	0.142857142857143	0.416666666666667	0.542372881355932	0.111111111111111	0.666666666666667
4857052	0.521739130434783	0.764705882352941	0.375	0.6	0.535714285714286	0.555555555555556	0.75
5629342	0.65	0.454545454545455	0.7	0.466666666666667	0.763636363636364	0.466666666666667	0.25
3361349	0.588235294117647	0.1875	0.3	0.272727272727273	0.288461538461538	0	0.166666666666667
6849567	0.72972972972973	0.65	0.8	1	0.703703703703704	0.571428571428571	0.8
1573098_1	0.428571428571429	0.466666666666667	0.291666666666667	0.416666666666667	0.411764705882353	0.111111111111111	0.875
1573098_2	0.428571428571429	0.466666666666667	0.291666666666667	0.416666666666667	0.411764705882353	0.111111111111111	0.875
2937667	0.4	0.25	0.315789473684211	0.181818181818182	0.396551724137931	0.266666666666667	0.0666666666666667
1284363_1	0.238095238095238	0.142857142857143	0.0909090909090909	0	0.307692307692308	0.0833333333333333	0.176470588235294
1284363_2	0.238095238095238	0.142857142857143	0.0909090909090909	0	0.307692307692308	0.0833333333333333	0.176470588235294
3912368	0.411764705882353	0.266666666666667	0.368421052631579	0.0909090909090909	0.481481481481481	0.307692307692308	0.1
3588305	0.666666666666667	0.772727272727273	0.55	0.818181818181818	0.6	1	1
5850454	0.157894736842105	0.5	0.458333333333333	0	0.2	0.153846153846154	0
3989097	0.28	0.2	0.15	0.5	0.260869565217391	0.5	0.470588235294118
3496132	0.80952380952381	0.75	0.5	0.5	0.60377358490566	0.555555555555556	0.266666666666667
847298	0.515151515151515	0.285714285714286	0.607142857142857	0.307692307692308	0.490909090909091	0.818181818181818	0.277777777777778
1359414	1	1	1	1	0.80952380952381	1	1
1919220	0.4375	0.571428571428571	0.666666666666667	0.583333333333333	0.566666666666667	0.727272727272727	1
6714716	0.8	0.888888888888889	0.727272727272727	0.615384615384615	0.563636363636364	0.8	0.866666666666667
5230493_1	0.714285714285714	0.916666666666667	0.636363636363636	0.916666666666667	0.5625	0.666666666666667	0.777777777777778
5230493_2	0.714285714285714	0.916666666666667	0.636363636363636	0.916666666666667	0.5625	0.666666666666667	0.777777777777778
5160493	0.111111111111111	0.388888888888889	0.238095238095238	0.230769230769231	0.436363636363636	0.444444444444444	0
4525993	0.105263157894737	0.0909090909090909	0.133333333333333	0	0.230769230769231	0	0.25
4745801	0.923076923076923	1	0.857142857142857	0.923076923076923	0.821428571428571	0.777777777777778	0.888888888888889
2963150	0.333333333333333	0.307692307692308	0.64	0.4	0.387096774193548	0.25	0.277777777777778
5985478	0.4	0.375	0.428571428571429	0.357142857142857	0.403846153846154	0.9	0.692307692307692
2581330	0.78125	0.857142857142857	0.857142857142857	0.529411764705882	0.732142857142857	0.384615384615385	0.7
5745739	0.828571428571429	0.91304347826087	0.842105263157895	0.545454545454545	0.753846153846154	0.9	0.8125
5640933	0.0606060606060606	0.5	0.206896551724138	0.1	0.235294117647059	0.4	0.142857142857143
6480178	0.678571428571429	0.631578947368421	0.695652173913043	0.75	0.737704918032787	0.7	0.846153846153846
4540909	0.269230769230769	0.318181818181818	0.37037037037037	0.642857142857143	0.381818181818182	0.428571428571429	0.0833333333333333
3284588	0.62962962962963	0.529411764705882	0.5	0.444444444444444	0.474576271186441	0.6	0.722222222222222
7086089	0.216216216216216	0.238095238095238	0.185185185185185	0.333333333333333	0.17910447761194	0.230769230769231	0.153846153846154
6105645	0.642857142857143	0.75	0.8	0.7	0.7	0.692307692307692	0.933333333333333
1131283_1	0.78125	0.909090909090909	0.866666666666667	1	0.8	0.8	0.705882352941177
1131283_2	0.78125	0.909090909090909	0.866666666666667	1	0.8	0.8	0.705882352941177
5882690	0.681818181818182	0.761904761904762	0.6	0.5	0.651162790697674	0.888888888888889	1
512289	0.333333333333333	0.333333333333333	0.285714285714286	0.222222222222222	0.324324324324324	0.142857142857143	0
51416	0.230769230769231	0	0.115384615384615	0.125	0.272727272727273	0	0.142857142857143
5338661	0.421052631578947	0.545454545454545	0.333333333333333	0.428571428571429	0.294117647058824	0.363636363636364	0
314030	0.375	0.388888888888889	0.454545454545455	0.142857142857143	0.428571428571429	0.533333333333333	0.777777777777778
829145	0.542857142857143	0.272727272727273	0.28	0.363636363636364	0.228070175438596	0.333333333333333	0.333333333333333
3209158_1	0.483870967741935	0.55	0.769230769230769	0.555555555555556	0.6	0.2	0.529411764705882
3209158_2	0.483870967741935	0.55	0.769230769230769	0.555555555555556	0.6	0.2	0.529411764705882
3496711	0.7	0.625	0.789473684210526	0.75	0.5625	0.428571428571429	1
111416	0.257142857142857	0.15	0.115384615384615	0	0.037037037037037	0.181818181818182	0
4056182	0.6	0.615384615384615	0.666666666666667	0.8125	0.74	0.909090909090909	0.5
2899381	0.666666666666667	0.833333333333333	0.588235294117647	0.642857142857143	0.634920634920635	0.636363636363636	0.923076923076923
2983225	0.269230769230769	0.153846153846154	0.0769230769230769	0.181818181818182	0.203703703703704	0.111111111111111	0.388888888888889
4762767	0.652173913043478	0.538461538461538	0.62962962962963	0.272727272727273	0.5	0.5	0.411764705882353
6755449	0.05	0.2	0.153846153846154	0.25	0.224489795918367	0.272727272727273	0
5087764	0.4	0.4375	0.625	0.714285714285714	0.648148148148148	0.4	0.384615384615385
6977488	0.848484848484849	0.8	0.619047619047619	1	0.807692307692308	0.9	0.615384615384615
7108935	0.714285714285714	0.555555555555556	0.529411764705882	0.6	0.534883720930233	0.8	0.666666666666667
462376	0.517241379310345	0.636363636363636	0.210526315789474	0.533333333333333	0.365853658536585	0.642857142857143	0.545454545454545
2590423	0.9	0.928571428571429	0.761904761904762	0.888888888888889	0.682926829268293	0.833333333333333	0.555555555555556
4480456	0.457142857142857	0.409090909090909	0.380952380952381	0.333333333333333	0.346938775510204	0.111111111111111	0.7
169587	0.454545454545455	0.466666666666667	0.6	0.384615384615385	0.32258064516129	0.555555555555556	0.4375
2861853	0.242424242424242	0.25	0.285714285714286	0	0.327272727272727	0.142857142857143	0.272727272727273
3712120	0.970588235294118	0.75	0.793103448275862	0.909090909090909	0.847457627118644	0.818181818181818	0.8
1680130	0.793103448275862	0.6	0.842105263157895	0.461538461538462	0.745762711864407	0.8	0.611111111111111
