TARA_142	TARA_147	TARA_150	TARA_151	TARA_7	TARA_80
1262534	0	0.0769230769230769	0	0	0	0
1477243	1	1	1	1	1	1
4349321	0.0625	0.166666666666667	0	0	0	0
2162587	0	0	0	0	0.461538461538462	0
116028	0	0	0	0.533333333333333	0.4	0.0178571428571429
1552607	1	0.916666666666667	1	1	0.75	1
1132134	0.125	0.916666666666667	1	0.88	1	0.806818181818182
719467	0	0.133333333333333	0.05	0.0555555555555556	0.0769230769230769	0.0727272727272727
5606224	0.857142857142857	0.857142857142857	0.846153846153846	0.315789473684211	0.2	0.818181818181818
14159	1	1	0.947368421052632	0.869565217391304	0.6	0.987654320987654
5293566	0.727272727272727	0.928571428571429	0.8	1	0.909090909090909	0.757142857142857
5302894_1	0	0	0.166666666666667	0	0.0588235294117647	0.5
5302894_2	0	0	0.166666666666667	0	0.0588235294117647	0.5
4941138	1	1	0.952380952380952	1	0.952380952380952	0.917647058823529
2808412	1	0.6	0.666666666666667	0.846153846153846	0.368421052631579	0.846153846153846
2012729	1	1	1	0.642857142857143	0.818181818181818	0.540540540540541
804752	0.538461538461538	0.833333333333333	0.928571428571429	1	1	0.986301369863014
551475	1	0.875	1	0.8	0.85	0.887640449438202
2190612	0.571428571428571	0.214285714285714	0.307692307692308	0	0.545454545454545	0.646153846153846
915350	0.818181818181818	0.25	0.875	0.363636363636364	0.75	0.333333333333333
543031_1	0.833333333333333	1	0.461538461538462	0.368421052631579	0.0833333333333333	0.53968253968254
543031_2	0.833333333333333	1	0.461538461538462	0.368421052631579	0.0833333333333333	0.53968253968254
37778	0.961538461538462	0.888888888888889	1	1	0.909090909090909	0.770833333333333
1968767	0.863636363636364	1	0.941176470588235	0.6875	1	0.80952380952381
1840754	0.111111111111111	0	0.333333333333333	0	0.222222222222222	0.403225806451613
1771451	0.866666666666667	0.1	0.333333333333333	0.25	0.0833333333333333	0.314814814814815
3135788	1	0.9	0.333333333333333	0.909090909090909	0.818181818181818	0.823529411764706
5665919	0.75	0.857142857142857	0.8	0.25	0.214285714285714	0.692307692307692
2754058	0.454545454545455	0.941176470588235	1	0.9	0.888888888888889	0.863636363636364
1516484	0.714285714285714	0.411764705882353	0.125	0.0714285714285714	0.222222222222222	0.380952380952381
2013063_1	0.555555555555556	0.916666666666667	0.235294117647059	0.388888888888889	0.384615384615385	0.685714285714286
2013063_2	0.555555555555556	0.916666666666667	0.235294117647059	0.388888888888889	0.384615384615385	0.685714285714286
1490197	0.4375	0.6	0.714285714285714	1	0.857142857142857	0.811320754716981
4973345	0	0.0909090909090909	0	0	0	0.166666666666667
44552	0.368421052631579	0.5	0.666666666666667	1	0.466666666666667	0.716417910447761
771316	0.3	0.5625	0.923076923076923	0.857142857142857	1	0.590909090909091
5296730	0.466666666666667	0.181818181818182	0.263157894736842	0.647058823529412	0.818181818181818	0.818181818181818
5048070	1	1	0.789473684210526	1	0.9375	0.555555555555556
86272	0.636363636363636	0.0833333333333333	0	0.0555555555555556	0	0.241935483870968
5401757	0.1	0	0	0.2	0.45	0.0638297872340425
5028091	0.0769230769230769	0.0588235294117647	0.181818181818182	0	0	0.349206349206349
3151079	0.307692307692308	0.307692307692308	0.588235294117647	0.6	0.714285714285714	0.768115942028985
660771	0.666666666666667	0.6	0.333333333333333	0.611111111111111	0.526315789473684	0.884057971014493
5435199	0.777777777777778	1	0.833333333333333	1	0.956521739130435	0.538461538461538
772381	0.176470588235294	0.2	0.571428571428571	0.428571428571429	0.230769230769231	0.3
251059	1	1	1	0.909090909090909	0.625	0.976190476190476
2509430	0.933333333333333	0.777777777777778	0.833333333333333	0.826086956521739	0.5	0.8
5485220_1	0.0476190476190476	0.0769230769230769	0.368421052631579	0.307692307692308	0.588235294117647	0.08
5485220_2	0.0476190476190476	0.0769230769230769	0.368421052631579	0.307692307692308	0.588235294117647	0.08
688159	0	0	0	0	0	0.258426966292135
2711384_1	0.636363636363636	0.769230769230769	0.352941176470588	0.19047619047619	0.105263157894737	0.307692307692308
2711384_2	0.636363636363636	0.769230769230769	0.352941176470588	0.19047619047619	0.105263157894737	0.307692307692308
2707563	0.214285714285714	0.0833333333333333	0	0	0	0.380952380952381
5852588	0.615384615384615	0.769230769230769	0.0625	0.5	0.8	0.477611940298507
3452322	0.923076923076923	0.846153846153846	0.75	0.454545454545455	0.454545454545455	0.735294117647059
5695113_1	1	0.944444444444444	0.875	0.75	0.772727272727273	1
5695113_2	1	0.944444444444444	0.875	0.75	0.772727272727273	1
2039569	0.181818181818182	0	0.384615384615385	0.428571428571429	0.375	0.169811320754717
2544194	1	1	1	1	1	0.698630136986301
4943062	0.76	1	1	1	1	1
227780	0.933333333333333	0.941176470588235	0.888888888888889	0.692307692307692	0.75	0.792207792207792
1008376	0.0555555555555556	0.166666666666667	0.166666666666667	0.136363636363636	0	0.258064516129032
1421307	0	0.0666666666666667	0.181818181818182	0.130434782608696	0.0714285714285714	0.333333333333333
2216481	0.0555555555555556	0	0	0	0	0.220588235294118
5483606	0.285714285714286	0.2	0.25	0.470588235294118	0.333333333333333	0.674418604651163
1484203	0.7	0.5	0.882352941176471	0.933333333333333	1	0.511111111111111
2227896_1	0.916666666666667	0.923076923076923	0.625	0.9	1	0.82
2227896_2	0.916666666666667	0.923076923076923	0.625	0.9	1	0.82
2231699	0.909090909090909	0.666666666666667	0.642857142857143	0.785714285714286	0.777777777777778	0.774193548387097
3536396_1	0	0	0	0	0.260869565217391	0.0117647058823529
3536396_2	0	0	0	0	0.260869565217391	0.0117647058823529
5247385	0.166666666666667	0.1875	0.466666666666667	0.8	0.75	0.4375
6035665	0.375	0.555555555555556	0.272727272727273	0.3	0.181818181818182	0.470588235294118
1381	0.45	0.3125	0.555555555555556	0.714285714285714	0.666666666666667	0.2
1174663_1	1	1	1	0.954545454545455	0.923076923076923	0.706666666666667
1174663_2	1	1	1	0.954545454545455	0.923076923076923	0.706666666666667
803970	0.117647058823529	0.142857142857143	0.0833333333333333	0	0	0.0510204081632653
6569559	0.272727272727273	0.352941176470588	0.294117647058824	0.0434782608695652	0.363636363636364	0.564102564102564
4915590	0.315789473684211	0.642857142857143	0.761904761904762	0.866666666666667	1	0.615384615384615
3547752	0.346153846153846	0.285714285714286	0.105263157894737	0.5	0.5	0.195402298850575
6564356	0.565217391304348	0.928571428571429	1	1	0.8125	0.77027027027027
465547	0	0.214285714285714	0	0	0	0.193877551020408
2394553	1	1	1	0.888888888888889	0.55	0.911392405063291
2321746	0.142857142857143	0.5	0.0714285714285714	0.473684210526316	0.571428571428571	0.145161290322581
5250620	1	0.785714285714286	0.875	1	0.894736842105263	0.810526315789474
5148956	0.416666666666667	0.444444444444444	0.357142857142857	0.217391304347826	0.0666666666666667	0.263888888888889
5607449	0.130434782608696	0.25	0.1	0.235294117647059	0.785714285714286	0.175824175824176
2372235	0.846153846153846	0.833333333333333	1	0.88	0.909090909090909	0.581818181818182
1804310	0.133333333333333	0.421052631578947	0.642857142857143	0.0769230769230769	0.409090909090909	0.25609756097561
702_1	1	1	1	1	0.727272727272727	0.986666666666667
702_2	1	1	1	1	0.727272727272727	0.986666666666667
6183831	0.0416666666666667	0.157894736842105	0.333333333333333	0.388888888888889	0.571428571428571	0.206349206349206
4076378	0.909090909090909	1	0.7	0.461538461538462	0.769230769230769	0.511627906976744
123791	0.95	1	1	1	0.764705882352941	1
4934441	0.0588235294117647	0.25	0.363636363636364	0.217391304347826	0.6	0.207317073170732
4953854	0.368421052631579	0.444444444444444	0.0769230769230769	0.1875	0.9	0.416666666666667
2211893	0.769230769230769	0.8	0.789473684210526	0.909090909090909	1	0.924731182795699
2232744	0.761904761904762	0.8	1	1	1	0.904761904761905
4326638	0.444444444444444	0.75	0.545454545454545	0.6875	0.6	0.316326530612245
1030649	0.705882352941177	0.75	0.916666666666667	0.785714285714286	1	0.842105263157895
4962241	0	0	0.0909090909090909	0.173913043478261	0.222222222222222	0.142857142857143
764589	1	1	0.75	0.705882352941177	0.928571428571429	0.695652173913043
