TARA_145	TARA_146	TARA_147	TARA_66	TARA_67
6350017	0.923076923076923	0	0	0.866666666666667	1
5664658	0.75	0	0	1	1
3514827	0.857142857142857	0	0	0	0
5708201	0.833333333333333	0	0	0	0
4540022	0	1	1	0.769230769230769	0.0909090909090909
5666051_1	0.555555555555556	0	0.136363636363636	1	1
5666051_2	0.555555555555556	0	0.136363636363636	1	1
3474360	0	0.0909090909090909	0	0.333333333333333	1
5162698	1	1	1	1	1
3208112	0.0769230769230769	0	0	0.222222222222222	1
3100849_1	1	1	1	0.666666666666667	0
3100849_2	1	1	1	0.666666666666667	0
843304	0.5625	1	1	0.0714285714285714	0
6368772	0.777777777777778	0.941176470588235	1	0.153846153846154	0
4291264_1	0.111111111111111	1	0.6	0	0
4291264_2	0.111111111111111	1	0.6	0	0
3857089_1	1	0	0.428571428571429	1	1
3857089_2	1	0	0.428571428571429	1	1
1714198	0.25	1	1	1	1
5789742	0.142857142857143	0	0	0.333333333333333	1
1419126_1	0.142857142857143	0	0	0.4	1
1419126_2	0.142857142857143	0	0	0.4	1
5038274	0.777777777777778	1	1	0.4	0
1675911	0.833333333333333	1	1	0.545454545454545	0
2846227	0.230769230769231	0	0.0666666666666667	0.6875	1
6458062	0.928571428571429	0	0	0.4	0.818181818181818
4830593	0.777777777777778	0	0	0.3125	1
5369400	1	0.928571428571429	0.736842105263158	0.0833333333333333	0
2578029	0.692307692307692	0	0	0	0
2241943	0	0.769230769230769	0.733333333333333	0	0
6333304	0.466666666666667	1	1	0.384615384615385	0
3340248_1	0.166666666666667	0	0	0.555555555555556	1
3340248_2	0.166666666666667	0	0	0.555555555555556	1
2839759	0.1	0	0	0.285714285714286	1
3774985_1	0	0.928571428571429	0.277777777777778	0	0
3774985_2	0	0.928571428571429	0.277777777777778	0	0
4639496_1	0	0	0	0.5	1
4639496_2	0	0	0	0.5	1
2267644	0.692307692307692	1	1	0.461538461538462	0
4823072	0.1	0	0	0.461538461538462	1
1642307	0.933333333333333	0.95	1	0.461538461538462	0
1235448	0.230769230769231	0	0	0.3	1
299550_1	0.857142857142857	0.227272727272727	0.16	1	1
299550_2	0.857142857142857	0.227272727272727	0.16	1	1
2150533	0.125	0.0769230769230769	0.222222222222222	0.857142857142857	1
1879603	0.125	0	0.136363636363636	0.692307692307692	1
3612199	0.5625	0	0	0	0
4537579	0.166666666666667	0	0.0555555555555556	0.785714285714286	0.9
2866028	0.0769230769230769	0.590909090909091	0.875	0	0
2336648	0.133333333333333	0.0833333333333333	0	0.636363636363636	0.933333333333333
