TARA_142	TARA_147	TARA_7	TARA_18	TARA_22	TARA_23
5797851	34	16	18	12	15	16
3174458_1	18	21	14	14	10	19
3174458_2	18	21	14	14	10	19
302586	23	15	11	9	15	9
5350341	18	17	13	10	22	12
3251773	22	17	9	10	9	21
5815045	29	10	17	12	18	17
1218612	35	12	18	11	24	11
3771786_1	17	18	15	9	17	9
3771786_2	17	18	15	9	17	9
5732487	25	18	11	9	22	12
728199_1	27	18	13	13	15	10
728199_2	27	18	13	13	15	10
268204	30	13	13	9	23	16
4582250	27	9	10	12	13	17
5709650	28	15	15	10	13	13
4130551	21	21	9	11	19	19
5654917	20	11	10	9	19	21
17332	21	20	9	10	11	9
884533_1	18	17	16	9	16	14
884533_2	18	17	16	9	16	14
5953003_1	16	12	10	10	18	14
5953003_2	16	12	10	10	18	14
3133260	35	14	13	9	18	13
5842399	29	16	19	11	25	13
5348264	27	15	16	9	19	14
2759261_1	25	11	15	10	26	11
2759261_2	25	11	15	10	26	11
2759261_3	25	11	15	10	26	11
1728680_1	20	15	14	13	17	14
1728680_2	20	15	14	13	17	14
1728680_3	20	15	14	13	17	14
5789622	25	16	9	9	18	18
917063	24	14	14	13	20	10
2628434	17	13	15	9	17	9
256547	30	20	10	10	13	19
2197530	20	18	12	12	18	11
2979751_1	32	17	19	10	16	22
2979751_2	32	17	19	10	16	22
2204800	27	15	13	14	25	14
586357	15	14	10	9	14	17
412150	25	15	10	10	15	12
3455451	20	15	14	11	20	10
274167	30	14	11	13	14	15
1132002	19	16	18	9	14	17
1001682_1	26	15	18	12	17	9
1001682_2	26	15	18	12	17	9
5251183	21	12	14	9	15	12
509835	30	18	19	12	15	13
2744081	29	18	11	10	20	15
4443771	21	14	12	11	17	11
5165956	29	15	12	11	16	22
5473770	20	19	17	12	17	15
2256598	16	15	11	9	19	22
6067860	29	13	14	10	19	12
440801	27	10	11	13	15	13
2341150	31	20	13	13	21	15
1378255	30	9	17	11	17	18
4843347	23	16	15	9	18	14
6543685	21	12	12	13	20	22
3461401	22	12	19	11	19	19
4872871	33	20	10	9	20	14
57750	35	17	9	12	19	17
2910994	34	17	14	11	18	22
3892275	22	12	13	10	22	17
1050819	21	21	12	12	14	17
3459691	26	18	18	10	23	19
2536924	33	14	13	10	27	16
5050860_1	29	14	13	11	19	11
5050860_2	29	14	13	11	19	11
6337923	24	16	13	9	14	11
3486808_1	24	12	11	10	22	13
3486808_2	24	12	11	10	22	13
2008999	18	11	18	12	13	10
4799363	20	20	12	14	25	16
126088	21	14	11	14	22	18
5356557	25	20	15	9	23	10
1107051	19	15	13	12	20	20
