TARA_150	TARA_152	TARA_68	TARA_70	TARA_83
938327	10	13	17	16	10
902562	12	15	13	16	10
888362	12	12	18	9	10
6598908	13	9	17	15	15
6593962_1	12	9	12	11	12
6593962_2	12	9	12	11	12
6557623	15	11	14	9	10
6526330	9	11	17	11	14
6521150	11	9	11	11	13
6505549	13	11	14	12	15
6456435_1	11	13	9	11	13
6456435_2	11	13	9	11	13
6435862	11	12	14	10	13
6409731_1	15	12	18	11	15
6409731_2	15	12	18	11	15
6390043	12	13	18	9	16
6380051	10	12	15	9	10
6367286	10	11	14	9	13
6310179	11	10	13	14	17
6273724	14	15	14	13	15
6252703_1	12	10	17	13	15
6252703_2	12	10	17	13	15
6234895_1	9	13	12	11	15
6234895_2	9	13	12	11	15
6208592	15	12	15	11	9
6110782	17	14	14	12	14
6088927	9	11	16	11	9
6061579	12	11	9	10	17
5941719	9	11	13	13	10
591131_1	14	11	14	11	10
591131_2	14	11	14	11	10
5845950	11	10	15	9	16
5688301	9	11	9	9	13
5679514	14	9	15	9	14
5652359	11	11	14	11	14
5538740	14	12	13	13	9
5529690	13	11	11	11	11
5495960	12	9	10	12	11
5409488	16	11	13	14	18
5392845	10	9	17	10	14
4760467	11	11	13	14	13
474670_1	11	12	18	10	16
474670_2	11	12	18	10	16
4699651	14	11	10	11	10
4667071	15	15	12	12	14
4637249	15	9	10	10	15
4620563	9	11	11	9	12
4586459	11	9	12	13	15
4531660	12	12	15	10	14
4367796_1	9	11	18	13	12
4367796_2	9	11	18	13	12
4367796_3	9	11	18	13	12
4365863	15	10	12	12	18
4330550_1	14	10	17	14	14
4330550_2	14	10	17	14	14
4330550_3	14	10	17	14	14
4245229	10	10	9	10	10
4192474	16	12	17	15	11
4192113	11	15	16	9	9
4120329	15	13	18	11	13
4084766	12	9	10	9	14
4025993	12	14	11	9	10
4003908_1	10	12	14	12	15
4003908_2	10	12	14	12	15
4001429	11	12	18	9	15
3798935_1	12	12	18	12	16
3798935_2	12	12	18	12	16
3765331	12	15	16	16	17
3738833	13	10	10	10	17
3673653	12	10	16	15	15
3610989	9	9	12	15	15
3464048	12	9	12	11	16
3440449	15	12	15	11	10
3398647	12	12	15	11	12
3394633	14	10	15	10	11
3367879	11	15	14	11	12
3211253	11	11	13	12	16
3209171	17	10	14	12	11
3014554_1	16	11	13	12	13
3014554_2	16	11	13	12	13
3000061_1	16	9	16	12	13
3000061_2	16	9	16	12	13
2995156	9	12	10	10	12
2950032	13	11	13	15	17
2918050	10	15	15	14	14
2885402	16	9	15	9	16
2858272	11	9	15	13	9
2747634	12	12	13	9	12
2645953	9	12	15	11	18
2605684	12	10	17	12	12
2602509	10	13	14	12	12
2570538	13	11	15	9	13
2527880	12	9	12	12	10
2349305	13	13	11	11	17
2073940	12	12	14	13	10
1917000	12	14	19	12	11
1751517	12	15	17	16	12
1729524	10	11	15	14	11
1633404	12	10	17	10	15
1569763	11	9	12	15	18
1505902	11	13	11	9	16
1435782	12	9	12	10	17
1414918_1	10	11	9	10	14
1414918_2	10	11	9	10	14
1391257_1	14	12	14	15	12
1391257_2	14	12	14	15	12
1369851_1	12	15	12	13	11
1369851_2	12	15	12	13	11
1311406	11	13	19	11	15
1291415	9	9	11	14	14
1224589_1	11	15	14	11	12
1224589_2	11	15	14	11	12
1193860_1	9	10	13	12	12
1193860_2	9	10	13	12	12
1106636	13	10	18	15	16
1100002	10	10	10	10	14
3682210	14	14	18	11	15
3885686	16	10	15	9	17
1345620	14	10	11	11	14
1874933	13	13	16	14	18
1518847	17	10	17	10	14
6406897	16	12	12	11	16
4685355	15	10	11	12	13
4702226	12	10	12	10	12
2864061	11	10	13	9	15
3053020_1	12	12	9	13	13
3053020_2	12	12	9	13	13
3424284	11	10	16	13	16
3685047	12	11	9	16	12
6317657	11	9	13	13	16
3656106_1	11	9	14	11	17
3656106_2	11	9	14	11	17
3656106_3	11	9	14	11	17
2076379	13	9	12	14	10
4557840	12	9	15	13	9
1332287	12	10	12	10	10
2409360	14	13	11	12	14
1614999_1	9	10	11	9	14
1614999_2	9	10	11	9	14
3579797	13	10	11	10	12
6526269	10	9	11	14	13
5346798	11	9	9	11	14
1742696	17	14	11	11	18
5869202	12	12	13	9	16
4469415	15	15	18	9	12
1372558_1	11	10	9	10	17
1372558_2	11	10	9	10	17
1372558_3	11	10	9	10	17
5343568	15	9	13	9	11
4054994	15	11	16	13	13
3872335	9	10	10	9	12
3788407	10	12	12	10	15
3038573	13	12	9	10	17
6400982	11	9	13	10	14
2318026	15	9	13	10	10
6369908	12	9	12	10	15
3176751	14	12	10	13	15
6507907	11	9	13	9	16
5448562	10	9	12	16	13
6374099	13	10	15	13	16
5594390	12	14	11	10	10
3361401	15	11	19	14	17
6068969	11	10	12	9	14
4012118	15	10	15	11	16
1393473	13	11	13	9	15
2981515	12	11	16	11	12
5404197	12	12	15	9	14
3604516	14	10	14	10	14
5864929	17	12	15	12	17
3882078	10	10	13	10	14
4439316	10	10	12	10	15
3503027_1	17	12	13	9	11
3503027_2	17	12	13	9	11
3177539	13	13	12	11	13
3482937_1	13	11	14	9	16
3482937_2	13	11	14	9	16
3482937_3	13	11	14	9	16
6108779_1	12	10	10	16	13
6108779_2	12	10	10	16	13
619074	11	10	14	16	12
4550657	10	14	15	10	14
1426244_1	14	14	15	13	16
1426244_2	14	14	15	13	16
2446909	13	10	13	12	16
2945299	9	13	12	11	14
5763616_1	17	14	15	10	17
5763616_2	17	14	15	10	17
5763616_3	17	14	15	10	17
6418854_1	13	9	13	9	11
6418854_2	13	9	13	9	11
3732231	10	11	10	9	12
2200872	17	11	11	14	17
3190322	15	12	15	12	12
3349002_1	11	9	17	11	16
3349002_2	11	9	17	11	16
3711139	16	13	15	9	12
950620_1	17	14	16	10	12
950620_2	17	14	16	10	12
6556139	12	9	13	10	17
2385623	13	10	17	14	13
1703029_1	12	12	9	12	11
1703029_2	12	12	9	12	11
2884342	9	13	17	14	14
5522753_1	15	9	14	14	13
5522753_2	15	9	14	14	13
3005172	17	15	9	13	17
373402	9	10	12	11	11
4055440	11	9	14	10	18
4493174	14	14	18	11	14
5374945	11	9	17	13	17
5904561_1	11	11	12	14	14
5904561_2	11	11	12	14	14
4587430_1	9	9	13	11	15
4587430_2	9	9	13	11	15
4587430_3	9	9	13	11	15
5403633	9	10	13	10	15
4800556	12	11	16	15	13
6601626	13	12	14	16	13
6560078_1	14	11	13	9	13
