TARA_142	TARA_146	TARA_147
935840	0	0	0
928024	0	0	0
902123	1	1	1
856886	1	1	1
830271	1	1	1
738078	1	1	1
71436_1	1	1	1
71436_2	1	1	1
6616565_1	1	1	1
6616565_2	1	1	1
6614032_1	0	0	0
6614032_2	0	0	0
6592682	1	1	1
6590041	0	0	0
6589340	1	1	1
6581333_1	0	0	0
6581333_2	0	0	0
6550569	1	1	1
6545961_1	1	1	1
6545961_2	1	1	1
6545538	1	1	1
6543716	1	1	1
6540450_1	1	1	1
6540450_2	1	1	1
6520463	0	0	0
6482112	1	1	1
6465572	1	1	1
6441697_1	1	1	1
6441697_2	1	1	1
6419228	0	0	0
6415232	0	0	0
6415191	1	1	1
6412243	0	0	0
6410446	0	0	0
6381918	0	0	0
6320295	1	1	1
6310956	1	1	1
6309678	1	1	1
6302734	1	1	1
6293454	1	1	1
6283914	0	0	0
6277249	1	1	1
6270664	1	1	1
6267169	1	1	1
6260768	0	0	0
6247736	0	0	0
6247247	1	1	1
6229417	0	0	0
6222368	1	1	1
6210606	1	1	1
6205217	1	1	1
6201570_1	1	1	1
6201570_2	1	1	1
6183543	0	0	0
6176396	0	0	0
6175883	1	1	1
6161845	1	1	1
6161571	0	0	0
6131005	1	1	1
6125451_1	0	0	0
6125451_2	0	0	0
6123925	0	0	0
6123823	1	1	1
612184_1	1	1	1
612184_2	1	1	1
6117107	0	0	0
611654	0	0	0
6109840	0	0	0
6097513	1	1	1
6091603	0	0	0
6088922	1	1	1
6083895	0	0	0
608143	0	0	0
6073037	1	1	1
6050633	0	0	0
6044529	1	1	1
6040429	0	0	0
600756	1	1	1
600606	0	0	0
5999494	1	1	1
5996893	1	1	1
5994404	0	0	0
598437	1	1	1
5963330	0	0	0
5959908	0	0	0
5942923	0	0	0
5918162	0	0	0
5901478	1	1	1
5898895	1	1	1
5876838_1	1	1	1
5876838_2	1	1	1
5873465	1	1	1
5868677	1	1	1
5858191	1	1	1
5819236	1	1	1
5801068	0	0	0
5797409	0	0	0
5795483	1	1	1
5790792	0	0	0
5778513	1	1	1
5768040	1	1	1
5763156	0	0	0
5751429	0	0	0
5739224	0	0	0
5710253	1	1	1
5702115_1	0	0	0
5702115_2	0	0	0
5693319	0	0	0
5647312	1	1	1
5616052	1	1	1
5586107	1	1	1
5585726_1	0	0	0
5585726_2	0	0	0
5585726_3	0	0	0
5585288	1	1	1
5581416	1	1	1
5578230	0	0	0
5576420	0	0	0
5568833	0	0	0
5568171	1	1	1
5558797	0	0	0
555085	1	1	1
5544816	0	0	0
5514687	1	1	1
5500149	1	1	1
5500045	1	1	1
5481049	0	0	0
5476122	0	0	0
5475950	0	0	0
5472120_1	1	1	1
5472120_2	1	1	1
5467384_1	1	1	1
5467384_2	1	1	1
5457186	1	1	1
542914	0	0	0
5422261	1	1	1
5421948	0	0	0
5417066	0	0	0
5411708_1	1	1	1
5411708_2	1	1	1
5399753	1	1	1
5395222	1	1	1
5379923_1	1	1	1
5379923_2	1	1	1
5372942_1	1	1	1
5372942_2	1	1	1
5372016	0	0	0
5362428	1	1	1
5359938	0	0	0
5352155	1	1	1
534977	0	0	0
5346686	1	1	1
5338588	0	0	0
5316060	0	0	0
5315408	0	0	0
530433	1	1	1
5301272_1	1	1	1
5301272_2	1	1	1
5301272_3	1	1	1
5295153	1	1	1
5294339	1	1	1
5287188	1	1	1
5284967	1	1	1
5259208	0	0	0
5257008	1	1	1
5255522	0	0	0
5250252	1	1	1
5241664	1	1	1
5226352	0	0	0
5219835	0	0	0
5207751	1	1	1
5174433	1	1	1
5157860	1	1	1
5118544	0	0	0
5065230	0	0	0
5058642	0	0	0
5045541	0	0	0
5021231	1	1	1
5019120	0	0	0
5004783	0	0	0
5002998	0	0	0
4941996	0	0	0
4909489	0	0	0
4902115	1	1	1
4872617	1	1	1
4863207	0	0	0
4858844	0	0	0
4852475	1	1	1
4848369	0	0	0
4815563_1	1	1	1
4815563_2	1	1	1
4787746	0	0	0
4776912	0	0	0
4771084	0	0	0
4761192	1	1	1
4737336	1	1	1
4725517	1	1	1
4725245	0	0	0
4723950	1	1	1
4719783	1	1	1
4709569	1	1	1
4708858	0	0	0
4706612	1	1	1
4703956	1	1	1
4698170	1	1	1
4680899	0	0	0
4678036	0	0	0
4671131	1	1	1
4670411	1	1	1
4669374	1	1	1
4662679	0	0	0
4656906	1	1	1
4653538	0	0	0
4637854	1	1	1
4619703	1	1	1
4616727	0	0	0
4613910	0	0	0
4553335	1	1	1
4549178	0	0	0
4546336	1	1	1
4520005	0	0	0
4505203	1	1	1
45049	0	0	0
4504458	1	1	1
4498167_1	1	1	1
4498167_2	1	1	1
4498167_3	1	1	1
4488283	0	0	0
445044_1	0	0	0
445044_2	0	0	0
4428298	0	0	0
4418464_1	1	1	1
4418464_2	1	1	1
4389054	1	1	1
4344901_1	0	0	0
4344901_2	0	0	0
4341390	1	1	1
4301979	1	1	1
4278211	1	1	1
4268441	0	0	0
4265547	1	1	1
4265329	1	1	1
4254161	1	1	1
421569	0	0	0
4208536	1	1	1
4190080	0	0	0
4188761_1	0	0	0
4188761_2	0	0	0
4179906	0	0	0
4163298	1	1	1
4144850	1	1	1
4137071	1	1	1
4133919	1	1	1
4125985	0	0	0
4106515	0	0	0
4106428	1	1	1
4091675	0	0	0
4089396	1	1	1
4086426	0	0	0
4085352	0	0	0
4060853_1	0	0	0
4060853_2	0	0	0
4056241	1	1	1
4050884	1	1	1
4049669	0	0	0
4025820	1	1	1
3993877_1	1	1	1
3993877_2	1	1	1
3990242	0	0	0
3984521	0	0	0
3977618	1	1	1
3963605	1	1	1
3961677	1	1	1
3939848	1	1	1
3939514	0	0	0
3933518	1	1	1
3891709	1	1	1
3876317	1	1	1
3874053	0	0	0
3871947_1	0	0	0
3871947_2	0	0	0
3868959	1	1	1
3866492_1	0	0	0
3866492_2	0	0	0
3834584	0	0	0
383441	1	1	1
3831743_1	0	0	0
3831743_2	0	0	0
3819787	0	0	0
3816569_1	0	0	0
3816569_2	0	0	0
3805776	1	1	1
3790585	1	1	1
3781367_1	0	0	0
3781367_2	0	0	0
3775828_1	0	0	0
3775828_2	0	0	0
3772663	1	1	1
3767273	1	1	1
3760448	1	1	1
3755121	0	0	0
3744190	0	0	0
3736954	0	0	0
370864	1	1	1
370241	1	1	1
3687215	0	0	0
368016	0	0	0
367446_1	0	0	0
367446_2	0	0	0
3632238	0	0	0
3619305	1	1	1
3613820	1	1	1
3559202_1	0	0	0
3559202_2	0	0	0
3559202_3	0	0	0
352483_1	0	0	0
352483_2	0	0	0
3513602	0	0	0
3513415	1	1	1
3511655_1	0	0	0
3511655_2	0	0	0
3503111	1	1	1
3480584	0	0	0
3475917_1	0	0	0
3475917_2	0	0	0
3459490_1	0	0	0
3459490_2	0	0	0
3437723	1	1	1
3428208	0	0	0
3424758	0	0	0
3423471	1	1	1
3406662	0	0	0
3403889	0	0	0
3393002	1	1	1
3372319	0	0	0
3367017	0	0	0
3357910	0	0	0
3334216	1	1	1
3286799	1	1	1
3218049	1	1	1
3211308	0	0	0
3202752_1	1	1	1
3202752_2	1	1	1
3193712	0	0	0
3183076	0	0	0
3170659	1	1	1
3154189	0	0	0
3125243	1	1	1
3116393	1	1	1
3114409	1	1	1
3095120	0	0	0
3093230	0	0	0
3084476	1	1	1
3059939	0	0	0
3045799	0	0	0
3015767	1	1	1
3015580	1	1	1
2988881_1	1	1	1
2988881_2	1	1	1
2975726	0	0	0
2944653	0	0	0
292658_1	0	0	0
292658_2	0	0	0
2898355	1	1	1
2895317	1	1	1
2889969	1	1	1
2868308	1	1	1
2854047	1	1	1
2836183	1	1	1
28346_1	1	1	1
28346_2	1	1	1
2830489	1	1	1
278566	1	1	1
2783814	1	1	1
2781483	0	0	0
2778493	1	1	1
2776786	0	0	0
2756652	0	0	0
275535	1	1	1
