TARA_149	TARA_151	TARA_23	TARA_25	TARA_30
6977874_1	9	9	19	21	14
6977874_2	9	9	19	21	14
898224	17	12	25	22	24
399775_1	11	17	20	14	13
399775_2	11	17	20	14	13
1429523	12	19	17	13	15
4100437	17	24	14	23	21
5314455	15	12	53	39	38
5482986	16	9	22	48	31
4476890_1	19	13	21	16	17
4476890_2	19	13	21	16	17
2629727	9	11	13	39	23
2317607	12	9	26	21	18
3436064_1	16	11	27	27	23
3436064_2	16	11	27	27	23
2029438	15	10	23	19	18
384598	14	15	47	24	28
160931	9	17	22	46	36
3246833	12	24	10	33	18
1729449	18	13	35	51	37
6665297	11	13	36	17	19
2544727	20	14	21	16	16
4275640	15	14	12	16	21
1591061	16	9	24	19	23
6721892	20	10	22	27	24
1094289_1	24	11	15	28	19
1094289_2	24	11	15	28	19
6055816	18	13	23	32	26
1200383	14	10	16	23	30
1782091	15	16	10	29	26
106121	14	14	10	15	18
2379948	17	22	26	28	29
4641188_1	14	9	10	32	19
4641188_2	14	9	10	32	19
5886532	12	19	30	15	31
2471602_1	9	13	23	16	18
2471602_2	9	13	23	16	18
5834233	15	14	27	41	16
5830524_1	22	23	26	58	46
5830524_2	22	23	26	58	46
5830524_3	22	23	26	58	46
693777	11	12	14	22	29
3364760	9	10	30	15	21
1956102	18	12	42	29	31
304068	18	14	13	46	50
1967973	24	14	41	44	34
3463276	15	10	17	25	14
2158536	14	16	45	58	38
750394	18	11	29	18	19
5378386	11	11	16	27	25
6122849	14	14	38	24	35
1777517	14	13	17	29	18
5514723	20	28	29	39	31
3327620_1	16	15	33	31	35
3327620_2	16	15	33	31	35
4486750_1	10	19	18	32	22
4486750_2	10	19	18	32	22
5877171	11	11	17	40	18
6232277	10	18	18	18	15
6925784	13	24	24	18	27
4478115	12	11	53	50	45
6267198	15	10	41	30	36
2059746	19	11	20	34	16
4279131	16	10	34	53	32
79732	10	13	20	38	31
5663539	18	12	13	23	15
1391921	9	9	19	19	22
1179285_1	12	20	24	52	29
1179285_2	12	20	24	52	29
6408027	12	13	21	35	28
3399665	15	28	30	36	39
1424397	14	12	27	20	17
458674	12	15	10	16	17
6703336_1	20	26	16	42	37
6703336_2	20	26	16	42	37
6635109	24	14	19	16	15
