TARA_142	TARA_22	TARA_23	TARA_25
836264	10	33	148	35
6100526	9	31	110	27
510522_1	11	44	93	22
510522_2	11	44	93	22
4408528	10	55	131	36
3195582	12	45	108	30
3006906	11	42	109	43
2059053	13	51	119	45
5266464	13	34	112	34
3165221	10	33	128	42
4378225	9	38	150	31
3634443	9	48	131	35
1873230	10	43	102	32
1922833	13	59	127	41
3379036	14	33	110	32
3403469	12	56	112	38
6377794	10	39	106	34
2358684	12	52	95	23
1438888	9	43	116	41
5780437	12	37	120	37
6072337	11	32	99	30
3437645	14	36	106	27
4047431	12	59	143	20
6049305	13	35	90	23
4646687	11	50	120	43
2221815	13	47	133	36
6592095	13	45	125	26
1053309	10	61	127	40
2890005	14	44	119	29
3485743	11	48	110	24
5507120	9	43	139	43
3025071	14	41	124	42
512606	11	39	97	29
2924353	14	47	134	40
2069017	11	48	102	42
5941047	12	42	119	22
2315031	9	52	112	32
4430109	9	39	137	44
3867989_1	11	40	132	42
3867989_2	11	40	132	42
6530376	9	51	114	23
681050	14	32	123	33
3009929	11	52	117	41
4812109	9	58	126	33
6107644	12	48	152	29
1940515	12	43	131	24
4001487	12	46	106	40
1049414	10	35	132	40
5279078	9	43	98	28
3947939	12	39	145	39
3749175	9	54	114	28
5808595	10	57	110	45
6420000	12	58	121	42
3186262	12	40	89	27
2916583	12	43	101	32
4437079_1	10	41	140	25
4437079_2	10	41	140	25
2955048	12	41	104	36
3417013	10	39	151	26
3713164	11	51	122	31
2417345	11	48	133	41
3754691	14	39	115	25
1849151	10	42	133	30
6195664	11	61	125	40
1445462	9	54	117	41
6079234	14	43	130	36
1343222	11	48	93	35
3698533	11	37	100	28
3406445	9	43	91	29
6115817_1	12	52	113	42
6115817_2	12	52	113	42
5891181	13	34	124	35
2865872_1	9	49	123	40
2865872_2	9	49	123	40
3459068	9	46	120	33
5260604	10	45	115	35
3395341	10	47	107	32
1586443	10	35	130	30
3446611	10	42	129	30
3151925	9	48	131	31
5885523	9	36	147	29
381130	11	43	116	37
2648006_1	10	39	108	26
2648006_2	10	39	108	26
1443828	9	46	138	24
1295338	10	49	138	29
2595406	10	34	131	34
2419813	9	37	142	39
1028211	11	53	114	32
5852998	12	44	132	38
1136298	10	57	123	36
6057070	9	37	115	41
2345757	14	49	120	34
4869569	10	28	122	29
2547367_1	9	53	125	38
2547367_2	9	53	125	38
5851215	10	40	95	25
2964790	9	38	118	43
6243045	13	28	129	42
1720787	9	43	113	39
2775022	9	43	123	23
2573217	9	32	128	32
3039655	11	29	146	34
2967147	11	43	135	36
2296311	14	52	133	37
3474316	9	36	135	41
1246227	11	53	128	35
2789396	13	49	109	34
6328678_1	13	40	131	40
6328678_2	13	40	131	40
6328678_3	13	40	131	40
1370373	9	60	104	31
6596819	13	40	140	40
6369683	12	60	106	29
799578	11	43	121	31
348633	10	54	105	26
2715833	13	34	121	29
3420448	13	53	142	29
6425232_1	11	33	130	33
6425232_2	11	33	130	33
6425232_3	11	33	130	33
2595636_1	12	39	120	31
2595636_2	12	39	120	31
3359850	13	38	144	39
4271735	14	50	120	27
4184125	9	46	134	45
5368077	12	47	136	43
3205061	10	57	112	32
3691406	10	28	107	34
3411349	10	51	110	26
2315065	11	51	118	33
3588582	9	45	110	37
5242471	12	42	120	33
4102017	10	31	130	22
1927882	12	54	138	31
6188640	13	49	134	40
1949553	10	39	130	27
4148889	9	48	116	39
953784	9	40	132	32
2340882_1	10	33	137	34
2340882_2	10	33	137	34
5761283	9	61	129	32
2966365	10	48	142	36
6436690	11	51	126	46
1315020	11	31	132	27
6041529	9	36	146	39
3408074	14	54	131	43
3194810	10	38	114	28
5015230	10	49	121	31
4543527	11	44	116	38
4004904_1	9	35	128	46
4004904_2	9	35	128	46
4004904_3	9	35	128	46
6595871	12	47	91	41
392670	9	43	110	35
1736983	9	43	122	27
4527024	11	55	126	43
3394777	11	44	138	35
2466116	11	46	131	27
2991900	11	44	140	39
4880987	11	54	115	34
2905202	11	32	118	42
1385743	11	37	123	37
1711669	11	49	124	43
2117547	13	60	121	33
2858383	11	40	115	32
6501137	10	42	123	26
1301169	9	53	106	38
6082731_1	9	44	106	39
6082731_2	9	44	106	39
6500133	11	42	141	40
5269341	11	55	116	39
2346141	9	50	139	41
4161938	11	44	124	40
3546019	12	39	140	42
3775386	9	46	115	38
1873431	12	48	125	28
5774510	10	47	130	45
72265	9	56	147	25
3772742	9	42	122	40
2585469	11	31	100	24
2218673	11	47	98	28
5409545	12	33	109	29
3392053	9	51	130	31
1384653	13	42	135	31
1732700	10	38	125	24
3364838_1	10	40	95	28
3364838_2	10	40	95	28
5170231	10	41	134	32
6266671	11	46	133	39
1460651	9	56	139	34
3650464	10	54	105	30
6261052	11	50	116	44
6193194	9	51	144	39
6268185	12	48	135	26
5975645	13	48	141	24
2348491	9	35	137	38
5554186	9	49	124	42
3170362	9	36	108	26
622521	12	34	97	33
1185214	10	50	141	35
6585606	9	42	119	40
3032102	13	34	124	30
6204302	13	42	136	35
2667021	10	55	111	41
4367719	10	58	132	36
3396386	11	47	97	37
2392052	13	59	113	30
3981674_1	9	29	121	33
3981674_2	9	29	121	33
6415345	12	41	111	22
5734689_1	9	43	103	26
5734689_2	9	43	103	26
2863339	12	45	108	38
5356682	11	44	135	39
5358141	10	33	129	29
3994707_1	10	46	107	34
3994707_2	10	46	107	34
6453116	11	30	114	31
3385552	11	39	142	32
1233442	10	50	123	46
4447290	12	56	104	39
2789919	14	51	104	38
3520160	12	58	128	30
3345772	12	51	113	39
5751158	10	40	112	29
5993668	9	37	96	37
5552595	14	43	121	23
4131670	9	51	126	44
5455444	14	31	130	31
1974782	11	53	104	33
3005148	9	57	129	43
2749664	11	47	98	37
6598807	9	42	123	32
2341675	11	49	106	44
4288460	10	32	121	37
4170541	9	40	97	32
5048163_1	9	30	117	39
5048163_2	9	30	117	39
505877_1	12	53	116	32
505877_2	12	53	116	32
2939626	11	41	117	30
4412366	11	45	112	22
156943	9	53	138	30
5968125	11	35	106	41
6193817_1	11	48	112	40
6193817_2	11	48	112	40
5998227	10	40	107	23
6191775	10	52	88	33
4041066	10	39	128	27
5985686	13	43	123	34
3541109	9	48	147	35
1750099	14	38	107	35
4063547	9	47	115	20
4197018	10	40	145	29
3795604	11	47	108	24
3194893	13	44	150	33
3802054	11	34	114	40
6390811	10	46	110	35
6422655_1	11	44	90	28
6422655_2	11	44	90	28
6041414	12	38	97	21
2320405	10	54	116	38
6508048	10	45	122	27
6195191	9	37	144	27
1438986	9	45	88	35
6035078	10	42	122	29
3933416	14	45	132	32
3827719	9	47	137	34
2982107	10	59	103	33
6420754	13	45	139	34
164167	12	38	113	26
3530791	9	50	141	31
4434183	9	37	145	28
3351338	10	48	116	41
2988554	10	34	88	25
4426136	13	47	142	46
2792178	10	61	141	27
6243540	10	34	104	23
3081284	10	38	137	40
6607459	13	48	121	35
2107797	11	43	97	32
2153002	9	55	137	24
5264074	9	40	125	25
4570994	14	51	139	27
3008855	12	50	131	35
6203130	12	31	89	22
4616320	12	42	93	39
6248439	11	45	112	39
1068884	10	38	126	33
4535286	9	58	124	37
6448562	9	56	103	43
3089303	11	32	135	34
4510611	9	52	148	31
4298133	10	45	133	39
6230363	9	39	133	34
3701270	9	49	100	35
6330628	9	32	99	38
1855513	12	49	110	30
4329910	14	40	127	38
3920717	9	27	151	36
2401870	9	31	118	36
5313093_1	9	46	120	40
5313093_2	9	46	120	40
6512987	11	43	106	26
2565787	11	46	130	37
1099286	11	48	95	33
3981793	9	27	121	32
1333507	11	35	105	35
4249549	9	48	120	31
1686814_1	12	33	120	36
1686814_2	12	33	120	36
5762152	12	48	121	39
697850	10	48	112	32
2325912	12	42	140	33
3160469	13	33	132	42
5890000	12	43	124	35
3586881	11	50	139	33
5732276	10	36	93	20
2941338	13	50	128	35
5425938	9	57	147	28
2601039	12	51	123	41
5808210	9	34	114	37
2412253	14	46	121	27
4630372	9	56	121	33
378350	9	34	106	30
4798582	10	53	124	32
139836	9	48	90	27
5524353	13	39	151	25
4866202	9	43	108	32
5988614	12	60	121	26
3699821	12	32	134	32
5796929	12	42	101	33
3423052	10	32	140	31
2424501	10	42	116	44
4143658	9	38	95	30
6006220	12	44	127	31
1589252	10	32	100	25
3524580	13	45	119	45
958948	9	39	127	23
393086	13	52	141	29
2964961	10	56	134	36
4639272	10	48	101	23
693537	12	54	133	35
6585739	10	54	131	42
2994794	10	60	138	26
4214190	9	55	130	38
2421319	13	56	103	31
1036225	9	41	145	39
1095055	9	43	146	41
2585156	10	44	123	32
3401106	11	40	127	43
6205112	13	43	143	31
2823225	11	46	106	28
848078	10	41	141	41
5379209	12	49	125	40
5324595	12	39	116	29
1592241	10	52	139	31
2321188	11	48	136	38
5855376	10	56	130	26
3110513	12	52	126	45
4574318	13	50	136	38
3518142	11	48	138	23
2453873	13	53	124	37
2781326	9	42	119	31
6466959	11	49	105	26
2172696	9	50	112	34
1407751	13	36	93	32
6291973	9	47	109	34
4070236	14	37	109	39
4839391	12	41	122	46
198077	11	45	111	35
1319396	13	54	132	37
4143472	12	36	95	30
2433739	11	61	103	35
2380572	10	51	119	38
6561702	11	46	135	31
6373405	9	43	92	28
2369053	13	46	119	34
5657748	10	40	133	44
4060639	11	40	105	31
2986236	13	49	138	29
3841254	11	54	138	34
3811874	9	34	134	41
1439961	13	56	101	35
1242228	10	38	103	34
2543111	11	47	112	38
6137770	10	41	97	29
3460304	9	45	131	43
2565384	10	33	103	37
3672140	9	44	143	35
702691	11	53	114	27
4568406	9	57	134	45
1136243	13	42	109	35
4665522	9	37	94	36
932691	11	34	103	38
5400801	10	33	123	42
4188436	11	37	95	33
5094153	10	45	145	34
3179413	11	59	114	35
2891309	9	51	124	32
3100719	13	59	128	38
3855723	9	29	109	28
1346502	9	46	115	38
5213987	9	39	114	24
3672563	11	50	144	27
2894682_1	11	37	115	43
2894682_2	11	37	115	43
3296693	13	43	142	40
2450311	12	53	132	24
948370	9	44	120	21
6401175	11	40	116	41
1076958	9	42	140	28
2254270	13	42	120	35
5270725	10	57	128	37
3773469	9	30	123	30
2261218	12	54	128	41
1384160	9	51	152	28
6065514	9	43	130	29
3481097	9	44	110	31
4143779	9	54	105	31
458560	10	29	119	32
6451926	9	35	106	37
6536023	9	38	124	31
594062	10	31	112	35
1314805	9	45	122	20
6193411_1	12	34	113	30
6193411_2	12	34	113	30
5863513	13	49	112	25
1829340	9	32	120	29
6221508	10	29	133	37
1560519	14	52	129	35
2068914	9	40	122	38
2453172	10	44	95	27
6561344	10	30	119	43
2190816	9	47	128	39
3433326	9	47	133	34
6389089	11	41	122	32
5273701	11	58	106	41
5228156	11	47	114	42
1450446	9	57	121	35
2202945	9	53	133	35
4374170	11	44	137	26
6439246_1	12	59	140	28
6439246_2	12	59	140	28
454464	11	41	102	32
3173358	9	53	121	32
5465695	9	41	118	36
4382401	11	47	118	23
3938703	9	47	132	34
5705484	13	40	130	40
625033	14	53	114	28
2558652	11	33	119	45
2746301	10	59	114	40
5191345	13	35	96	27
4019888	9	36	131	34
6227864	9	29	123	30
4117462	9	57	145	24
2434245	9	31	121	44
5494858	11	45	141	26
1610879	10	42	109	36
171548	11	51	133	45
1932480	10	47	119	29
6535910	9	50	118	28
2041527	12	37	93	24
2614656	13	53	112	31
944913	11	41	110	28
2120670	10	31	106	32
3019856	12	47	147	31
3409677	9	54	138	36
1408280	9	50	131	41
