TARA_82	TARA_83	TARA_84	TARA_85
6230804	0	0	1	1
5989488	1	1	0	0
4240338	1	1	0	0
2102223	0	0	0	1
314765	1	0.9375	0	0
4911241	0	0	1	0.928571428571429
1740403	0.027027027027027	0	1	1
3449094	0.021978021978022	0	1	1
4741526_1	0.0384615384615385	0	1	1
4741526_2	0.0384615384615385	0	1	1
4741526_3	0.0384615384615385	0	1	1
1830547	0.0158730158730159	0.0555555555555556	1	1
4049188	0.0158730158730159	0.0625	1	0.954545454545455
3335011	0.0277777777777778	0.0714285714285714	1	1
4033546	1	1	0.866666666666667	0
1183524_1	0.979166666666667	1	0.0454545454545455	0.04
1183524_2	0.979166666666667	1	0.0454545454545455	0.04
1247484_1	0.930232558139535	1	0	0
1247484_2	0.930232558139535	1	0	0
1247484_3	0.930232558139535	1	0	0
6632723	0.037037037037037	0.0714285714285714	1	1
1154325	0.0434782608695652	0	1	1
2285424	0.0379746835443038	0.0476190476190476	1	1
6183608	0.9875	1	0.09375	0
3999153	0	0	0	0.894736842105263
6100219	0.984126984126984	1	0.0540540540540541	0.0769230769230769
5625951	0.0222222222222222	0.125	1	0.956521739130435
5154256	0	0	0.8	1
5282598	1	1	1	0.130434782608696
3499595	0.0571428571428571	0.166666666666667	1	1
1683166	1	1	0.25	0
6608688_1	1	1	0.909090909090909	0.0526315789473684
6608688_2	1	1	0.909090909090909	0.0526315789473684
5510279	1	1	1	0.153846153846154
577801	1	1	0.107142857142857	0.125
4383206	0.0178571428571429	0	0.928571428571429	0.818181818181818
2318515	0.938461538461538	1	0	0.130434782608696
2845051	0	0	0.75	1
4495285	1	1	0.176470588235294	0.0769230769230769
3832734	0.96969696969697	1	0.0967741935483871	0.0625
2581030	0.0975609756097561	0.0625	1	1
5880104	0.108108108108108	0.0769230769230769	1	1
4207066	0.0757575757575758	0	0.945945945945946	1
5643148	0	0	0.823529411764706	0.9
3991462	0.027027027027027	0.0555555555555556	0.961538461538462	0.833333333333333
1887330	1	1	1	0.1875
1481000	0.946428571428571	1	0.111111111111111	0
1812855	1	1	1	0.2
7075829	1	1	1	0.181818181818182
4741329	0.983870967741935	1	0.24	0
1957487	0.0454545454545455	0	0.8	1
3692901_1	0	0	0.857142857142857	0.818181818181818
3692901_2	0	0	0.857142857142857	0.818181818181818
4142381	0.0178571428571429	0	0.91304347826087	0.785714285714286
2601756	0	0	0.758620689655172	0.952380952380952
6237332	0.09375	0	0.916666666666667	1
2580228	0.909090909090909	1	0.0606060606060606	0
5801866	0.970149253731343	1	0.135135135135135	0.0666666666666667
991965	0	0	0.0434782608695652	0.857142857142857
6035493	0.0576923076923077	0	0.862068965517241	1
1786297_1	0	0	0	0.785714285714286
1786297_2	0	0	0	0.785714285714286
3575953	0.9375	0.909090909090909	0	0.15
3427651_1	1	1	1	0.210526315789474
3427651_2	1	1	1	0.210526315789474
1614841	0.933333333333333	0.833333333333333	0.0555555555555556	0
7124126	0	0.05	0.833333333333333	0.857142857142857
4659756	0.920634920634921	0.866666666666667	0.0666666666666667	0
5772104	0	0	0.185185185185185	1
1758440	0.0806451612903226	0	0.888888888888889	1
5419648	0	0	0	0.769230769230769
21778	0.0857142857142857	0.0909090909090909	0.971428571428571	0.9375
6511877	0.894736842105263	0.916666666666667	0.0512820512820513	0
575520	1	1	1	0.230769230769231
3934798	0.120481927710843	0	1	1
1907118	0.0845070422535211	0	0.947368421052632	1
2458428	0.949367088607595	1	0.0476190476190476	0.176470588235294
925341	0.970588235294118	1	0.277777777777778	0.0476190476190476
6295195_1	1	1	0.208333333333333	0.1
6295195_2	1	1	0.208333333333333	0.1
5961058_1	1	1	0.228571428571429	0.0833333333333333
5961058_2	1	1	0.228571428571429	0.0833333333333333
3377843	1	1	0.25	0.0833333333333333
2732061_1	0.108695652173913	0.2	0.96875	1
2732061_2	0.108695652173913	0.2	0.96875	1
2732061_3	0.108695652173913	0.2	0.96875	1
7033149_1	0	0	0.714285714285714	0.909090909090909
7033149_2	0	0	0.714285714285714	0.909090909090909
191988	0.983050847457627	1	0.16	0.19047619047619
