TARA_9	TARA_11	TARA_20	TARA_22	TARA_23	TARA_25
2021983	1	1	1	0.65	1	1
3387432	0.727272727272727	0.346938775510204	0	0.166666666666667	0.241071428571429	0
608747	0.333333333333333	0.157894736842105	0	0	0.215686274509804	0.454545454545455
4753397	0	0	0.181818181818182	0.368421052631579	0.09	0.0714285714285714
5837878	1	0.688888888888889	0.928571428571429	0.857142857142857	0.787234042553192	1
509651	0.166666666666667	0.142857142857143	0.153846153846154	0	0.155339805825243	0.0666666666666667
6187204	0	0.351351351351351	0.111111111111111	0.111111111111111	0.1375	0.1
3469703	1	0.9375	1	0.588235294117647	0.796296296296296	0.916666666666667
3593566	0	0.260869565217391	0.142857142857143	0.384615384615385	0.293103448275862	0.214285714285714
5873647	0.181818181818182	0.188679245283019	0.1	0.181818181818182	0.125	0.0909090909090909
2383971	0	0.0714285714285714	0.142857142857143	0.529411764705882	0.184782608695652	0.166666666666667
5261762	0.222222222222222	0.318181818181818	0.545454545454545	0.545454545454545	0.526881720430108	0.75
1339107	0	0.166666666666667	0.222222222222222	0.444444444444444	0.407407407407407	0.222222222222222
5778918_1	0.928571428571429	0.55	0.785714285714286	0.666666666666667	0.791666666666667	0.916666666666667
5778918_2	0.928571428571429	0.55	0.785714285714286	0.666666666666667	0.791666666666667	0.916666666666667
104574	0.9	0.575757575757576	0.222222222222222	0.5	0.53125	0.4
1019500	0.153846153846154	0.242424242424242	0	0.388888888888889	0.272727272727273	0.5
4105005	0.222222222222222	0.448275862068966	0.1	0.333333333333333	0.426086956521739	0.3125
3555100	0.9	0.976744186046512	1	0.818181818181818	0.92	1
3911833	0.5	0.886363636363636	0.8	1	0.768518518518518	1
6301962	0	0.142857142857143	0.1	0.5	0.238095238095238	0
3228754	0.307692307692308	0.40625	0.4	0.0952380952380952	0.324324324324324	0.333333333333333
4542849	0.9	0.5	0.3	0.727272727272727	0.573913043478261	0.6
3343150	1	0.6875	0.923076923076923	0.909090909090909	0.816901408450704	0.777777777777778
1188303	0.666666666666667	0.516129032258065	0.6875	0.666666666666667	0.740740740740741	0.866666666666667
6706493_1	0.928571428571429	0.981132075471698	1	1	0.917525773195876	1
6706493_2	0.928571428571429	0.981132075471698	1	1	0.917525773195876	1
4942588	0.692307692307692	0.433333333333333	0.7	0.733333333333333	0.39622641509434	0.666666666666667
3748336_1	1	0.435897435897436	0.818181818181818	0.692307692307692	0.613636363636364	0.461538461538462
3748336_2	1	0.435897435897436	0.818181818181818	0.692307692307692	0.613636363636364	0.461538461538462
10221	0.727272727272727	0.8	0.75	0.941176470588235	0.735849056603774	0.818181818181818
1408914	0.272727272727273	0.261904761904762	0.583333333333333	0.0454545454545455	0.206611570247934	0.333333333333333
4878558	0.545454545454545	0.340425531914894	0.2	0.0909090909090909	0.392	0.642857142857143
3074549	0.875	0.981818181818182	1	1	0.880733944954128	0.692307692307692
366953	0.8	0.6	0.583333333333333	0.5	0.368852459016393	0.230769230769231
3713207	0.111111111111111	0.0263157894736842	0.230769230769231	0.315789473684211	0.211538461538462	0
2986270	1	0.772727272727273	1	1	0.8	1
2561422	0	0.236842105263158	0.416666666666667	0.5625	0.316239316239316	0.181818181818182
3892544	0.7	0.146341463414634	0.307692307692308	0.1875	0.315789473684211	0.133333333333333
5132936_1	0.928571428571429	0.911764705882353	0.923076923076923	1	0.775510204081633	0.5
5132936_2	0.928571428571429	0.911764705882353	0.923076923076923	1	0.775510204081633	0.5
5132936_3	0.928571428571429	0.911764705882353	0.923076923076923	1	0.775510204081633	0.5
1487798	0.9	0.88	0.615384615384615	0.722222222222222	0.824074074074074	0.875
6016636	0.714285714285714	0.685185185185185	0.363636363636364	0.764705882352941	0.684210526315789	0.272727272727273
6700205	0.333333333333333	0.216216216216216	0.153846153846154	0.166666666666667	0.354838709677419	0
339301	0.928571428571429	0.764705882352941	0.615384615384615	0.521739130434783	0.605263157894737	0.461538461538462
5725225	0	0.25	0.166666666666667	0.444444444444444	0.186440677966102	0.166666666666667
6346886	0.5	0.708333333333333	1	0.785714285714286	0.745098039215686	1
2235043	0.928571428571429	0.872340425531915	1	1	0.905263157894737	1
6778788	0.461538461538462	0.696969696969697	0.833333333333333	0.642857142857143	0.787234042553192	0.8
6179187	0.571428571428571	0.906976744186046	0.8	0.777777777777778	0.764705882352941	1
6366546	0.8	0.75609756097561	0.928571428571429	0.6	0.925	0.818181818181818
5606197	0.416666666666667	0.148936170212766	0	0.05	0.26	0.1
2959926_1	0.2	0.0789473684210526	0.0625	0.375	0.130434782608696	0
2959926_2	0.2	0.0789473684210526	0.0625	0.375	0.130434782608696	0
6363186	0.875	0.65	0.785714285714286	0.947368421052632	0.76530612244898	0.625
5121599_1	0.5	0.448979591836735	0.416666666666667	0.125	0.466666666666667	0
5121599_2	0.5	0.448979591836735	0.416666666666667	0.125	0.466666666666667	0
2449666	0.615384615384615	0.5	0.533333333333333	0.470588235294118	0.322222222222222	0.642857142857143
1502329	0.6	0.842105263157895	0.909090909090909	0.785714285714286	0.710526315789474	0.5
5533861	0.285714285714286	0.155555555555556	0.222222222222222	0.0625	0.197183098591549	0.1875
2431028	0.857142857142857	0.895833333333333	0.666666666666667	0.631578947368421	0.872093023255814	0.941176470588235
4641804	0.818181818181818	0.794871794871795	0.6	0.9	0.735294117647059	0.785714285714286
1615649_1	0.2	0.216216216216216	0.222222222222222	0	0.160714285714286	0.3
1615649_2	0.2	0.216216216216216	0.222222222222222	0	0.160714285714286	0.3
5939491	1	0.789473684210526	0.928571428571429	0.8	0.886363636363636	1
1105471	0.75	0.659090909090909	0.846153846153846	0.333333333333333	0.617391304347826	0.615384615384615
4635986	0	0	0	0.25	0.0681818181818182	0.0714285714285714
4307951	0.0666666666666667	0.177777777777778	0.153846153846154	0	0.148936170212766	0
4606652	1	1	1	0.818181818181818	0.907692307692308	1
6495174	0.153846153846154	0.186046511627907	0	0.375	0.13	0
4396333	1	0.829268292682927	0.833333333333333	0.923076923076923	0.806122448979592	0.666666666666667
5127787	0.222222222222222	0.296296296296296	0.1	0.388888888888889	0.337837837837838	0.307692307692308
2983674	1	0.891304347826087	1	0.85	0.876106194690266	1
6007986_1	1	0.961538461538462	1	1	0.855421686746988	0.909090909090909
6007986_2	1	0.961538461538462	1	1	0.855421686746988	0.909090909090909
6007986_3	1	0.961538461538462	1	1	0.855421686746988	0.909090909090909
3286644	0.0833333333333333	0.0769230769230769	0.25	0	0.186915887850467	0.0625
233716	0	0.09375	0	0.0833333333333333	0.0769230769230769	0.0909090909090909
1222452	0.888888888888889	0.916666666666667	0.888888888888889	0.947368421052632	0.78	0.8125
721850_1	0	0.0181818181818182	0	0	0.120879120879121	0.166666666666667
721850_2	0	0.0181818181818182	0	0	0.120879120879121	0.166666666666667
4005556	0.75	0.731707317073171	0.785714285714286	0.642857142857143	0.895522388059702	0.75
371068	0.111111111111111	0.212121212121212	0	0.214285714285714	0.260869565217391	0.222222222222222
5329155	0.666666666666667	0.324324324324324	0.25	0.368421052631579	0.30188679245283	0.333333333333333
2639091	0	0.153846153846154	0.153846153846154	0.2	0.246153846153846	0.0909090909090909
32949	0.642857142857143	0.551020408163265	0.666666666666667	0.769230769230769	0.660377358490566	0.538461538461538
4304638	0	0.173913043478261	0.0909090909090909	0	0.179775280898876	0.222222222222222
4594512	0.214285714285714	0.162790697674419	0	0	0.11340206185567	0
6799844	0.266666666666667	0.15	0.25	0.222222222222222	0.302325581395349	0.222222222222222
3917858	0.222222222222222	0.119047619047619	0	0.263157894736842	0.14018691588785	0.214285714285714
6729528	1	0.808510638297872	0.909090909090909	0.909090909090909	0.891566265060241	0.764705882352941
3462037	0.375	0.592592592592593	0.75	0.736842105263158	0.658823529411765	0.545454545454545
4516075	0.909090909090909	0.934782608695652	0.9	1	0.852941176470588	0.727272727272727
3127021	1	0.847826086956522	1	0.9	0.925	1
6692263	0.333333333333333	0.318181818181818	0.2	0.111111111111111	0.254716981132075	0.2
237112	0.444444444444444	0.3	0.307692307692308	0.307692307692308	0.358695652173913	0.266666666666667
1671294	0.3	0.191489361702128	0.461538461538462	0.2	0.263157894736842	0.111111111111111
2983055	0	0.194444444444444	0.1	0.230769230769231	0.202702702702703	0.0833333333333333
2659516	0	0.04	0.0769230769230769	0	0.106666666666667	0.166666666666667
689590	0.0909090909090909	0.19047619047619	0.1	0.0555555555555556	0.128	0.333333333333333
5093480	0.8	0.909090909090909	1	1	0.878504672897196	0.769230769230769
5987456	0.785714285714286	0.918918918918919	0.9	1	0.833333333333333	0.75
2532545	0.111111111111111	0.2	0	0	0.111111111111111	0.0769230769230769
1306915	0.3	0.15625	0.111111111111111	0.2	0.239669421487603	0.111111111111111
994405	0	0.0833333333333333	0	0	0.108108108108108	0
3845542	0.777777777777778	0.777777777777778	1	0.85	0.871287128712871	0.916666666666667
182090	0	0.0434782608695652	0.0714285714285714	0.2	0.104166666666667	0
4890497	0.357142857142857	0.239130434782609	0.111111111111111	0.4375	0.254901960784314	0.307692307692308
3224243	0	0.0697674418604651	0	0	0.10752688172043	0.0666666666666667
3385318	0.923076923076923	0.846153846153846	0.777777777777778	1	0.88135593220339	1
5068930	0.9	0.744186046511628	0.888888888888889	0.777777777777778	0.726415094339623	0.823529411764706
748458	0	0	0.166666666666667	0.0625	0.094017094017094	0.0714285714285714
3148968	1	0.866666666666667	0.909090909090909	0.904761904761905	0.825242718446602	0.8
4082866	0.384615384615385	0.196078431372549	0.1875	0.294117647058824	0.28	0.230769230769231
3294496	0.0909090909090909	0.15625	0.0833333333333333	0.214285714285714	0.12	0
4582357	0.769230769230769	0.605263157894737	0.666666666666667	0.75	0.692307692307692	0.555555555555556
278701	1	0.972972972972973	0.933333333333333	1	0.89922480620155	1
1499067	0.888888888888889	0.853658536585366	0.777777777777778	0.888888888888889	0.788888888888889	0.8
3729766_1	0.0909090909090909	0.205882352941176	0.1	0.1875	0.11864406779661	0.2
3729766_2	0.0909090909090909	0.205882352941176	0.1	0.1875	0.11864406779661	0.2
521007	0.1	0.111111111111111	0	0.0769230769230769	0.0849056603773585	0.0769230769230769
