TARA_143	TARA_144	TARA_150	TARA_20	TARA_22	TARA_25	TARA_70
3599920_1	9	11	39	13	17	20	10
3599920_2	9	11	39	13	17	20	10
439221	12	11	37	13	24	22	22
1785937_1	9	15	27	11	17	23	14
1785937_2	9	15	27	11	17	23	14
2892106	11	15	43	9	18	31	18
4382259	10	10	48	9	16	26	15
5019487	9	12	43	13	16	32	24
3840772_1	14	15	48	14	18	31	18
3840772_2	14	15	48	14	18	31	18
2342743_1	11	19	43	12	17	40	19
2342743_2	11	19	43	12	17	40	19
1633211	15	14	47	10	22	26	16
1392411	16	16	46	13	19	27	11
4197345	15	13	46	15	22	24	10
3981140	11	19	38	11	15	29	19
5756503	15	17	33	13	13	31	25
3588234	13	13	35	11	10	26	16
4102581	10	9	37	12	14	32	22
305145	12	12	47	12	14	28	28
1879778	11	13	47	12	20	37	22
1453622_1	14	20	41	10	15	33	27
1453622_2	14	20	41	10	15	33	27
2996929	11	11	45	13	26	36	22
3993554	13	14	39	11	16	21	11
386483	9	10	38	9	16	33	22
3516880	11	16	32	15	12	26	16
7044472	10	11	39	15	25	35	22
720119	13	10	45	13	25	29	24
4416264	10	9	35	10	16	27	10
833820	16	11	35	12	23	33	19
6401497	9	14	45	15	17	35	15
3511509_1	10	14	47	14	21	40	23
3511509_2	10	14	47	14	21	40	23
5951777	15	10	31	10	14	26	14
2312228	13	10	35	13	23	34	18
3762961_1	14	20	44	15	20	29	10
3762961_2	14	20	44	15	20	29	10
1881402	9	18	30	11	21	24	14
672463	11	12	42	11	12	26	19
1172356	9	12	32	10	12	26	12
2569992	12	12	43	13	20	27	24
7028251	9	20	41	10	11	34	26
3393577	16	11	44	9	12	29	16
3856721	10	10	34	12	18	33	26
1705920	12	14	41	11	20	28	15
1097087	13	16	41	9	19	28	23
6886494	9	15	36	13	15	25	15
719550	14	12	40	9	15	26	25
4861680	14	15	52	15	20	31	16
5147162	12	19	37	12	19	35	23
6744358	14	16	39	14	15	32	18
3772046	11	17	38	9	25	39	23
1343275_1	11	12	37	12	16	25	12
1343275_2	11	12	37	12	16	25	12
2514305	13	12	37	10	21	23	15
4503394_1	9	13	51	13	16	38	28
4503394_2	9	13	51	13	16	38	28
110508	14	14	48	11	18	37	15
4886291	11	12	42	9	18	27	11
6478270	9	16	46	10	19	29	11
6862807	9	15	47	9	17	28	16
1931814	11	17	33	10	21	23	14
2933559	10	14	28	10	18	29	9
1195340	9	14	31	11	19	26	13
4915227	11	13	31	11	23	32	17
1751840	12	13	31	12	18	26	9
6579483_1	12	19	45	12	14	32	23
6579483_2	12	19	45	12	14	32	23
2328220	12	16	38	13	12	26	19
159972_1	17	17	39	10	20	37	27
159972_2	17	17	39	10	20	37	27
5147703	12	14	45	14	23	38	15
6916711	10	11	44	13	17	31	13
4317006	13	11	43	12	15	29	25
4398636	11	14	40	13	22	26	19
6855013	16	11	48	14	21	32	12
4470162	11	15	35	10	15	32	21
6631272	14	15	38	11	18	27	18
2524275_1	13	10	29	10	17	32	17
2524275_2	13	10	29	10	17	32	17
1352908	10	19	48	13	15	30	15
1407508	10	9	45	11	13	31	27
1537408	13	11	35	13	24	26	16
1047306_1	12	11	37	13	15	21	27
1047306_2	12	11	37	13	15	21	27
5912369	11	17	33	10	25	30	14
6157734	10	16	41	12	23	37	15
752975	9	13	29	9	22	25	10
3685679	10	17	46	11	13	36	24
6129538	13	15	38	14	23	32	21
96495	11	10	30	10	17	24	9
1735734	15	14	46	12	14	31	16
1862365_1	10	12	37	12	16	23	15
1862365_2	10	12	37	12	16	23	15
1187432	14	10	43	12	19	37	10
5655266	13	15	41	11	22	28	17
1313524	14	12	46	10	18	21	16
3173880	12	15	44	15	21	25	15
629310	10	16	47	13	13	35	18
4441981	12	15	32	10	16	26	13
1709881	15	11	45	12	18	28	24
728648	13	15	36	10	17	29	9
4421849	13	14	39	15	21	24	20
5728154_1	13	14	45	10	12	38	23
5728154_2	13	14	45	10	12	38	23
4404999	12	13	40	13	25	24	17
5938653	9	9	44	15	16	31	26
5643147	10	9	40	14	15	26	20
6663433	10	9	39	15	15	32	28
431194	11	15	35	12	26	29	17
3642697	10	18	52	15	17	25	20
6088026	11	15	46	10	14	28	23
6018454	17	14	36	10	10	25	24
3850227_1	15	13	41	12	24	29	16
3850227_2	15	13	41	12	24	29	16
3850227_3	15	13	41	12	24	29	16
3398497	9	15	40	9	16	32	19
4691521_1	11	11	33	11	25	28	16
4691521_2	11	11	33	11	25	28	16
1915385	12	12	53	11	15	29	29
1489127	11	15	53	9	18	38	18
1497012	15	15	39	12	23	31	21
2315946	11	14	44	9	21	22	17
722955	12	15	35	11	19	32	17
4636847_1	13	15	44	11	16	33	15
4636847_2	13	15	44	11	16	33	15
2034408	13	13	40	13	15	34	27
4006160	9	14	30	16	23	22	18
2557058	14	14	35	10	19	27	20
889528	12	13	39	9	14	19	15
1635301	12	14	40	12	23	30	17
4892149	15	12	43	14	21	38	18
3171169	11	19	49	15	17	33	18
1514449	12	17	51	13	19	29	19
4200735	14	13	38	10	16	23	16
3211800	12	20	44	13	14	26	19
3728813	13	18	34	13	24	34	27
5709933	9	12	48	9	21	36	11
766753	12	17	48	9	20	27	27
615060	11	10	32	10	19	27	22
6577285	9	14	44	11	18	37	21
672444	10	15	40	12	17	29	13
1568173	9	19	35	13	21	30	22
3421043	12	14	45	12	21	18	18
5853682	9	11	40	12	18	34	24
5153903_1	15	16	52	10	17	34	26
5153903_2	15	16	52	10	17	34	26
4002733	11	10	42	9	17	28	14
5526786_1	13	18	45	10	19	24	15
5526786_2	13	18	45	10	19	24	15
4274120	12	13	41	10	12	33	27
4126153	11	15	34	10	26	24	16
4294057	16	19	38	9	15	33	22
4359888	14	18	31	9	15	27	20
718531	17	20	41	9	13	34	17
3626224	12	13	28	12	25	26	20
4519904	10	14	42	13	16	24	20
3088870_1	13	10	42	11	13	22	22
3088870_2	13	10	42	11	13	22	22
2653175	9	13	33	14	16	31	10
4961843	13	16	51	11	20	34	22
2609798_1	14	19	33	10	25	32	22
2609798_2	14	19	33	10	25	32	22
6006653	11	16	46	12	20	23	22
6904920	16	11	50	14	21	36	23
4219528	17	13	34	11	26	27	19
3300516	10	15	30	9	13	35	22
6729054	13	12	36	14	16	32	11
3132740	14	20	40	10	14	32	11
6950059	10	13	41	9	18	26	17
4906929	9	20	38	10	14	29	18
1477622	11	10	40	11	26	26	9
1627574	10	9	39	12	25	29	15
3621588	11	12	43	14	20	29	23
1588020	15	14	53	12	18	31	19
4478172	14	18	34	10	19	31	26
1297246	13	18	37	10	17	26	24
2415876_1	15	19	42	12	13	31	18
2415876_2	15	19	42	12	13	31	18
700769	9	14	43	14	24	38	19
1713399	10	18	48	14	16	32	13
6047624	9	17	30	10	11	26	16
1697419	15	15	45	9	15	32	27
5118504	14	20	40	12	17	32	24
59464	10	18	37	11	21	26	19
3256094_1	15	9	39	9	17	27	28
3256094_2	15	9	39	9	17	27	28
1054840	9	17	48	16	15	25	19
3326009	14	17	46	11	11	38	21
5248785	10	10	36	15	20	25	16
4477346	14	13	36	12	13	29	14
2021311	13	15	51	12	18	35	20
2320323	13	17	44	10	26	25	19
5097808	11	15	46	10	17	39	20
5576286	12	20	40	14	26	24	16
2953977	16	14	40	9	14	28	22
3376800	12	14	45	9	21	27	19
5252648_1	14	18	43	11	21	22	22
5252648_2	14	18	43	11	21	22	22
5252648_3	14	18	43	11	21	22	22
7082825	10	13	37	11	18	32	16
6970403	14	14	52	13	23	33	18
5740539	17	15	47	14	25	33	18
3126775	11	16	34	16	21	33	13
7055294	15	13	46	12	18	35	17
4423967	11	17	39	11	21	35	27
4756674	16	20	48	12	22	35	23
4212490	15	13	45	13	13	39	15
2296259	16	20	39	13	15	34	28
6122086	12	11	37	13	20	28	13
1014743	12	14	43	15	17	30	11
6299301	16	16	44	14	19	38	26
1439474	10	10	44	16	14	33	17
2465222_1	15	19	43	11	15	31	27
2465222_2	15	19	43	11	15	31	27
2214333_1	10	11	36	15	16	30	21
2214333_2	10	11	36	15	16	30	21
4744337	13	11	46	14	19	25	20
393862	10	19	37	12	18	28	15
1502870	14	13	44	12	22	38	20
2512908	13	9	42	9	14	23	20
3924087	12	16	40	14	14	27	22
2318295	14	14	38	12	19	30	25
1108319	15	13	44	13	18	24	27
4358494	9	15	32	10	21	26	17
3381689	9	10	32	10	24	28	18
2095890	9	17	44	12	20	23	18
4114606	14	12	41	16	17	35	24
4495293	14	18	41	16	18	35	22
5284102	13	16	31	9	22	22	15
2159061	10	14	40	13	25	34	28
2684739	12	15	31	15	19	33	19
365060	9	14	42	12	15	28	19
3279769	9	19	41	11	15	29	24
4199561	11	12	45	14	20	28	22
3390166	9	18	29	13	17	23	17
4566711	11	18	38	12	23	28	10
3316783	14	16	35	13	20	32	26
2005050	10	15	35	10	17	30	24
1119401_1	17	12	37	15	21	30	11
1119401_2	17	12	37	15	21	30	11
4681183	12	13	46	13	10	38	19
984998	11	20	48	10	17	27	22
3548699_1	15	12	45	11	21	28	10
3548699_2	15	12	45	11	21	28	10
3548699_3	15	12	45	11	21	28	10
928224	14	9	38	11	17	28	13
822748	14	14	37	12	24	37	21
5075194_1	9	11	33	12	17	30	22
5075194_2	9	11	33	12	17	30	22
5370072	12	17	35	16	16	33	15
6641287	15	15	41	11	15	30	18
792762	11	12	44	14	24	31	23
6436401	11	11	48	11	16	38	28
6220407	12	19	32	13	17	28	23
2386714	11	13	43	9	24	25	19
502506	11	18	38	10	12	26	11
6443155	12	13	29	11	23	30	11
1750701	14	20	51	10	21	24	19
6376880	10	11	40	12	17	32	20
1690806	15	19	53	11	20	29	23
4811007	17	14	41	9	20	27	26
4294183	11	14	43	12	15	38	27
5694274_1	10	13	44	9	22	31	25
5694274_2	10	13	44	9	22	31	25
3939617	14	10	43	9	22	40	15
935574	10	15	52	12	16	29	19
1011142	12	20	46	15	21	21	21
2686868	10	15	45	10	14	33	14
3372275	14	15	41	12	21	28	19
396005	16	13	40	9	22	36	17
2449518	11	13	47	13	17	30	21
2528791	13	10	44	16	24	29	15
2847328	13	15	40	14	21	35	20
373632	14	20	50	13	12	39	16
5734494	12	11	51	14	17	36	11
428112	11	13	36	10	22	26	18
980886	12	16	31	11	17	31	19
4000242	14	12	52	14	20	30	24
6744914_1	15	17	39	13	21	39	27
6744914_2	15	17	39	13	21	39	27
3233223	12	19	46	13	22	37	22
4462022	10	14	49	13	16	30	23
3277004	15	17	40	11	11	33	17
6480201	9	15	37	12	15	32	21
1264178_1	15	13	38	14	20	39	17
1264178_2	15	13	38	14	20	39	17
602870	13	11	44	12	17	32	18
6482601	12	14	32	14	26	33	14
5760242	10	15	48	14	24	34	13
766579	16	11	39	10	19	28	18
2087411	16	14	40	10	20	27	22
5916939	14	11	48	9	17	38	21
3860318	14	11	53	11	14	33	23
5376667	10	17	43	10	26	32	24
1559294	11	16	43	9	25	29	29
3681517	15	16	36	9	18	27	19
966675	10	17	46	10	20	26	25
4822502	15	9	35	15	23	21	17
2012767	10	13	39	12	19	29	12
1490965	9	15	45	9	25	35	19
6187239	13	13	45	15	19	36	21
7055208	13	18	44	13	16	34	17
5568672_1	12	11	44	13	21	35	14
5568672_2	12	11	44	13	21	35	14
1460151	9	15	34	9	21	22	13
4930055	11	14	42	10	17	25	28
1772678	14	11	45	10	10	24	28
6430624	16	15	39	10	23	33	14
5382141	13	15	45	9	15	27	18
3923076	13	18	47	10	15	32	25
4234968	12	13	43	10	14	25	24
6487308	10	12	49	10	20	28	19
3888015_1	9	14	41	12	24	30	18
3888015_2	9	14	41	12	24	30	18
6148977	14	14	52	10	18	36	24
2175236	10	16	53	15	20	31	24
4177543	9	18	41	14	21	24	18
2495402	13	17	47	16	19	35	21
4099328	12	10	43	16	12	22	24
6571617	12	13	41	15	24	39	13
757499	14	17	43	15	23	35	17
2106565	15	13	48	12	19	28	29
4207669	14	10	37	14	19	27	16
