TARA_143	TARA_144	TARA_150	TARA_151	TARA_18	TARA_22	TARA_70	TARA_76
558038	14	16	18	15	15	24	55	12
5393932	24	11	22	24	11	12	28	10
1610580	17	10	11	17	9	12	41	9
3164005	20	15	29	26	13	14	46	13
1429488_1	22	13	24	23	12	20	47	13
1429488_2	22	13	24	23	12	20	47	13
1429488_3	22	13	24	23	12	20	47	13
5228908	25	11	15	21	14	13	58	9
1407024	23	14	9	14	9	16	36	15
6139694	19	17	13	19	10	16	56	10
4506504	23	16	16	23	10	19	45	9
4435805	26	11	25	21	12	11	33	13
3521752	21	9	18	11	14	21	32	9
515433	18	16	15	15	9	13	33	9
6575961_1	14	13	21	23	11	13	43	9
6575961_2	14	13	21	23	11	13	43	9
2455039	17	9	17	21	10	22	56	12
4177245	18	9	19	16	9	9	47	10
896211	28	9	21	14	10	14	54	9
5241059	18	9	23	20	14	23	50	13
5908910	26	9	17	24	9	11	53	11
3126	22	10	23	26	10	19	52	9
1304443	18	10	19	16	13	12	37	10
1817690	21	12	22	24	16	14	64	13
204729	18	13	13	27	11	20	42	11
1361488	16	9	11	21	12	18	45	9
2084373	18	10	11	17	9	14	36	10
356120_1	17	13	16	25	10	14	55	9
356120_2	17	13	16	25	10	14	55	9
2247083	25	10	16	18	11	22	42	9
6491459	13	14	10	14	15	18	47	9
684084	23	15	26	12	18	10	50	14
5618650	18	15	21	15	9	12	41	9
2520535	22	14	24	24	10	15	45	9
6140146	23	11	23	28	12	12	62	11
2041644	21	9	23	16	11	22	53	9
1703917_1	27	15	23	22	10	9	34	12
1703917_2	27	15	23	22	10	9	34	12
943272	21	9	28	16	14	13	46	9
2280333	27	12	28	19	14	21	62	12
2510813	11	13	13	21	9	10	52	11
4593729	21	10	14	30	11	9	44	11
4021792	18	12	16	28	10	17	49	10
6576066	27	11	20	16	9	14	55	11
2190257_1	25	9	21	19	9	11	53	9
2190257_2	25	9	21	19	9	11	53	9
815342	19	9	16	22	10	17	51	11
4318480	15	11	17	25	15	15	37	11
2904564	18	13	15	18	13	18	56	9
997368	28	12	20	25	17	11	51	9
5747489	21	13	20	24	10	24	64	9
2321921	21	12	14	21	9	13	55	9
2581568	23	12	15	18	12	20	53	10
508958	18	11	15	18	17	12	66	11
3377916	25	11	14	16	16	21	43	9
498968	20	17	21	25	16	13	63	11
2631713	17	11	16	27	12	10	40	15
432099	18	12	27	18	14	13	59	11
6040006	11	12	18	23	13	21	42	11
1597928	22	11	17	24	10	12	47	11
3147275	25	11	15	19	18	19	45	10
4813123	17	14	11	24	18	22	52	12
4929976	19	11	26	25	17	22	49	13
6093721	20	12	15	14	15	14	61	13
380425	22	9	18	26	10	17	49	10
202532	15	14	21	12	15	18	52	9
6337334_1	16	9	19	25	14	14	52	13
6337334_2	16	9	19	25	14	14	52	13
1002395_1	21	11	15	28	12	24	36	12
1002395_2	21	11	15	28	12	24	36	12
3446622	28	13	12	21	11	14	49	10
3018774	22	16	15	17	13	19	50	10
5960895	23	13	22	23	17	19	58	9
781116	17	9	21	24	13	13	47	11
4954476	27	16	11	21	10	15	62	9
2582422	28	14	21	29	10	23	64	15
3432889	17	11	23	24	12	14	58	11
2951671	13	18	16	18	11	17	50	10
2560316	23	14	22	15	10	17	44	11
3573812	28	15	10	18	13	18	59	14
5607228	19	12	22	14	14	14	50	9
3439118_1	22	12	20	27	13	17	51	9
3439118_2	22	12	20	27	13	17	51	9
4386095	17	11	21	23	10	16	55	9
1139053	22	13	17	15	18	21	62	14
5289054	21	16	21	22	12	16	43	12
1239672	19	9	19	20	13	19	57	10
4017365	24	12	17	25	14	13	63	13
682521	18	16	12	20	9	11	61	10
237115	17	13	22	25	14	17	67	14
5249068	24	12	17	15	14	22	55	10
3407493	20	13	20	21	12	13	46	14
4845494_1	12	10	19	31	14	16	42	15
4845494_2	12	10	19	31	14	16	42	15
4845494_3	12	10	19	31	14	16	42	15
2515542	18	15	28	31	11	20	61	10
866614	17	13	11	20	17	25	52	9
3383453	26	9	19	30	10	19	47	10
2936608	24	12	28	30	11	17	36	9
4336055	17	9	16	11	10	9	32	10
1511972	21	12	25	24	10	16	55	10
3904939	22	12	15	29	9	14	46	15
4149455	13	11	22	16	9	16	43	9
90072	26	10	21	25	10	16	52	12
1973144_1	21	17	17	23	13	20	50	14
1973144_2	21	17	17	23	13	20	50	14
3553040	18	17	26	20	10	24	53	12
1506029	21	11	24	21	16	10	25	14
6196873	16	17	25	23	12	13	58	13
4928578	12	16	23	23	11	16	58	9
3062350	15	13	12	18	11	18	62	10
190039	22	17	19	29	10	19	52	15
4127805	25	10	24	25	15	15	50	10
3815643_1	23	15	21	24	18	23	46	11
3815643_2	23	15	21	24	18	23	46	11
2695272	26	14	19	26	9	17	56	15
3067081	19	17	20	22	9	16	45	11
502600	28	9	17	25	14	14	65	12
2951692	17	10	25	31	9	13	63	13
19061	18	13	18	26	10	19	56	15
820696	20	12	19	28	13	13	61	9
304534	22	16	24	21	9	13	46	15
4289897_1	14	11	24	16	10	21	53	9
4289897_2	14	11	24	16	10	21	53	9
3286142	25	14	25	29	15	12	64	9
2118697	18	15	20	27	17	24	46	13
1105419	20	11	26	21	14	17	42	10
1712218	22	18	23	28	14	13	39	11
3673155_1	12	14	28	26	11	20	55	12
3673155_2	12	14	28	26	11	20	55	12
4147501	18	9	17	25	9	24	57	9
818667	25	17	21	28	14	18	60	12
4226702	29	11	23	20	13	24	61	10
4195981	25	13	22	23	13	24	60	10
6448930	14	14	22	13	12	16	50	10
5269271	25	10	18	22	14	18	66	10
