TARA_146	TARA_147	TARA_148
843098	1	1	1
5191166	1	1	1
4980667	1	1	1
481397	1	1	1
369147_1	0	0	0
369147_2	0	0	0
3119521	1	1	1
2991900	0	0	0
2588650	0	0	0
2570657	0	0	0
1938141	1	1	1
1103627_1	0	0	0
1103627_2	0	0	0
1097816	1	1	1
4354490	0	0	0
5869002	0	0	0.0163934426229508
2949385_1	0.0256410256410256	0	0
2949385_2	0.0256410256410256	0	0
2234659_1	1	1	0.96969696969697
2234659_2	1	1	0.96969696969697
5503394	0.989010989010989	1	1
2420078	0	0	0
3839809	0	0	0
3763774_1	0.98	1	1
3763774_2	0.98	1	1
673819	0	0	0
1030861	0.0123456790123457	0	0.0112359550561798
1443814	0.971428571428571	0.956521739130435	0.984126984126984
4022371_1	1	0.95	1
4022371_2	1	0.95	1
2299958	1	1	1
1746913	0.015625	0	0.0192307692307692
5005372	0.0517241379310345	0	0
6059637_1	0	0	0
6059637_2	0	0	0
471414	0	0	0
1143506	0	0.0285714285714286	0.0119047619047619
1339256	0	0	0.0454545454545455
9763	0	0	0
6224860	1	1	0.925925925925926
1537580	0.971428571428571	1	0.947368421052632
6375407	1	1	0.964285714285714
6483427_1	0	0	0.04
6483427_2	0	0	0.04
6099692	1	1	0.96969696969697
510393_1	0	0	0.0714285714285714
510393_2	0	0	0.0714285714285714
1933929	0.0571428571428571	0	0.0303030303030303
2518244	0	0	0
5948863	0.985074626865672	0.967741935483871	0.964912280701754
428273	0.985714285714286	1	1
1714767	1	1	0.966101694915254
3128211	0	0.0526315789473684	0
5945077	1	1	1
5325178	0.971428571428571	0.95	1
6765791	0.968253968253968	1	0.975609756097561
2855306	0.010989010989011	0.04	0
466286	1	1	1
4046932	1	1	1
5446014_1	1	1	1
5446014_2	1	1	1
1178600_1	0	0	0
1178600_2	0	0	0
5456787	0.944444444444444	1	0.945945945945946
1419231	0	0	0.0975609756097561
4466731	0.111111111111111	0	0
5202981	0	0	0
2054690_1	1	0.95	0.88
2054690_2	1	0.95	0.88
5908890	0.0428571428571429	0	0
1694296	1	1	1
2318756_1	0	0	0.162162162162162
2318756_2	0	0	0.162162162162162
5303029_1	0.976190476190476	1	1
5303029_2	0.976190476190476	1	1
5303029_3	0.976190476190476	1	1
690086_1	0.0740740740740741	0	0
690086_2	0.0740740740740741	0	0
690086_3	0.0740740740740741	0	0
2666046	1	1	0.869565217391304
1401834	0.0149253731343284	0	0.0192307692307692
942714	0.974358974358974	1	1
6558105	0.975	0.941176470588235	1
4724147	0	0	0.25
2516241	0.0952380952380952	0	0.125
3420118_1	0.971014492753623	1	1
3420118_2	0.971014492753623	1	1
2653779	0.959183673469388	1	0.96551724137931
2933142	0	0	0.117647058823529
2302449	1	1	0.904761904761905
2378067_1	0.0181818181818182	0	0
2378067_2	0.0181818181818182	0	0
1530376	0.891891891891892	1	0.983333333333333
4751101	1	0.866666666666667	1
377500_1	0	0.105263157894737	0.0327868852459016
377500_2	0	0.105263157894737	0.0327868852459016
3627543_1	0	0	0.04
3627543_2	0	0	0.04
2006395	0.981481481481482	1	0.957446808510638
6316193	0.9	1	0.980392156862745
3060048	1	1	1
3642540_1	0.956521739130435	0.928571428571429	0.827586206896552
3642540_2	0.956521739130435	0.928571428571429	0.827586206896552
262316_1	0	0	0
262316_2	0	0	0
262316_3	0	0	0
2191507	0.962962962962963	1	0.935483870967742
6553577	0	0	0
5743893	0.927272727272727	0.875	0.945945945945946
2597767_1	1	1	0.9375
2597767_2	1	1	0.9375
5703961	0.111111111111111	0	0
258239	1	1	0.833333333333333
1801542_1	0	0	0
1801542_2	0	0	0
5312864	0.966666666666667	0.833333333333333	0.909090909090909
1411035_1	0.927272727272727	1	0.918367346938776
1411035_2	0.927272727272727	1	0.918367346938776
1411035_3	0.927272727272727	1	0.918367346938776
4732082	0.967741935483871	1	0.769230769230769
6421811	0.870967741935484	1	0.8125
2131388	0.975	1	0.8
2671383	1	1	0.94
4623638	0	0	0
4587845	0	0	0
5129818	0.916666666666667	1	0.894736842105263
2334372	1	0.96	1
598373	1	0.925925925925926	0.833333333333333
2231353_1	0.024390243902439	0	0.0967741935483871
2231353_2	0.024390243902439	0	0.0967741935483871
5342829	1	0.941176470588235	0.96078431372549
839332	0.981132075471698	1	0.95
3989737	0.0869565217391304	0.0769230769230769	0.0731707317073171
5311874	0.0465116279069767	0.166666666666667	0.125
1594009	0.0943396226415094	0	0.0363636363636364
6377210	0.956989247311828	1	0.983333333333333
1756413	0.0487804878048781	0	0.227272727272727
990343	0.0425531914893617	0.12	0.0363636363636364
5487219	1	0.916666666666667	1
1355144	0.0571428571428571	0	0.0625
5740391	0	0	0.232558139534884
5593193	0	0	0
1045835	0.895522388059702	0.96	0.959183673469388
3807770	1	1	0.943181818181818
6217689	0.157894736842105	0.0384615384615385	0.0487804878048781
4247052	0.0166666666666667	0	0
2667515	0.0119047619047619	0	0.0263157894736842
5762265	0	0.04	0.0943396226415094
2342581	0.12	0.142857142857143	0.0816326530612245
6921196	1	1	1
157105	0.0588235294117647	0	0.255813953488372
6799560	0	0	0
4783618	0.902439024390244	1	0.80952380952381
2841455	0.0434782608695652	0	0
1204163_1	1	1	1
1204163_2	1	1	1
