TARA_147	TARA_150	TARA_25	TARA_30
1435963	32	20	19	23
2867868	24	23	12	19
28857	31	12	23	22
2893674	31	14	14	21
326465	26	12	19	18
2646927	27	16	18	44
569097	22	17	16	36
873187	28	10	23	29
2640004_1	44	14	15	32
2640004_2	44	14	15	32
1090658	22	17	15	31
1537346	28	16	28	46
245534	41	29	27	43
2298147	23	11	14	38
2066222_1	20	25	16	27
2066222_2	20	25	16	27
1476338	22	19	22	15
688197	27	16	24	26
1264747	24	12	18	18
2691006	30	18	19	33
1911962	23	22	17	24
1446652_1	44	22	13	25
1446652_2	44	22	13	25
2270597	35	20	28	29
1878636	25	12	24	30
2857171	19	26	12	23
2270291	23	18	32	29
2820152	36	14	25	36
2569137	32	14	14	22
911164	23	11	18	32
1557674	25	15	15	19
1791937	24	26	12	21
2705227_1	23	12	25	27
2705227_2	23	12	25	27
657943	48	25	27	38
524863	20	11	17	25
1604119	20	20	14	20
2889727	29	15	31	37
2121607	29	14	12	18
2359329	23	10	12	31
732364	34	16	9	15
2517990	46	20	24	22
140671	32	28	25	35
165877	35	25	24	33
1806642	41	10	24	28
1363779	36	13	15	37
1621108	22	17	12	19
347070	50	24	29	32
1231934	26	19	29	24
2164532	38	30	20	32
1603242	56	31	19	35
645979	28	22	29	21
1861215	40	23	18	47
2128670	32	25	31	41
2724850	53	26	24	18
1211338	30	13	26	33
1313687	20	10	16	20
251324	24	15	9	24
16473	23	12	23	41
1992789	28	10	18	40
439148	47	15	19	41
968597	20	20	12	24
1054119	28	15	25	25
2472110	25	20	13	15
940039	24	19	15	23
2788907	22	15	17	27
98394	25	12	16	32
2429761	27	18	25	40
2486159	22	13	22	24
2370746	32	26	18	16
862519	26	24	18	27
1623222	44	23	18	27
1101413	20	11	21	34
1580053	27	18	12	15
1326461	46	30	20	40
2531852	33	23	18	25
667638	42	22	19	30
788414	38	21	18	17
2925009_1	31	16	16	16
2925009_2	31	16	16	16
1517035	20	12	23	22
2507760	36	12	21	24
406910	28	23	25	26
2435813	39	21	23	39
2648523	37	24	24	36
1551231	35	16	18	23
2355260	46	22	14	29
2195272	36	32	16	20
1229822_1	45	30	24	17
1229822_2	45	30	24	17
1229822_3	45	30	24	17
2062922	19	21	12	21
2370270	34	11	18	21
1282576_1	33	24	24	44
1282576_2	33	24	24	44
2826495	20	25	16	37
1034342	26	15	20	31
1134628	20	10	12	23
554394	22	27	15	26
1648281	24	14	30	24
542943	39	14	14	21
1533368	29	18	11	17
820303	30	23	32	34
1072458	45	20	28	38
955651	41	29	15	30
849830	34	16	17	21
2324831	40	27	27	19
2618099	27	13	15	22
1537544	50	26	12	27
2811197	49	28	32	43
328497_1	38	30	24	35
328497_2	38	30	24	35
632727	21	16	12	25
2626829	29	16	20	31
1166892	40	32	28	46
1192539	35	12	20	34
1970629	25	13	20	33
1453555	21	18	15	20
733045	39	24	25	25
744499	21	14	13	29
580949	30	22	10	16
388650	31	27	14	34
1758511	26	18	21	30
496351	35	27	13	19
2451577	32	14	12	24
1464246	43	27	11	26
621369_1	27	14	20	46
621369_2	27	14	20	46
1653589_1	30	30	29	46
1653589_2	30	30	29	46
1956246	26	10	16	22
1365335	25	26	30	22
1732122	27	17	9	17
599797	48	31	21	31
1122634	47	25	25	32
2130730	45	20	11	35
2109059	38	23	16	22
2485286	46	16	14	23
1993734	26	13	16	22
2430711	29	12	25	33
1190929_1	32	20	27	47
1190929_2	32	20	27	47
1654047	32	24	22	25
2365279	24	25	13	20
2258661	24	17	12	17
2831203	27	20	17	33
1990356	34	14	23	21
1766362	38	20	17	15
258443	51	21	21	28
2753840	31	19	26	26
2829260	32	26	17	35
1718376	35	12	21	23
2406250	36	22	27	32
1355170	26	30	24	30
2641724	36	24	17	23
2639921	25	12	14	16
2814347	32	19	15	38
1595788	24	22	25	29
1724941	26	20	19	37
1410723	39	22	23	32
2546531	34	34	28	27
1434607_1	39	26	15	33
1434607_2	39	26	15	33
1793907	48	17	23	41
1247444	26	23	24	26
1820206	25	19	20	21
901965	30	13	11	20
62072	40	25	22	19
1067168	24	16	26	28
2199910	27	15	10	27
954625	39	27	19	37
1969941	35	17	12	18
2052151	19	20	11	26
1989411	28	17	23	20
221714	34	16	19	38
1197063	45	19	13	19
93100	20	15	22	21
2340430	34	29	28	25
1267932	44	21	32	43
1145517	44	22	11	28
1127017_1	25	24	31	35
1127017_2	25	24	31	35
1683794	28	16	11	22
2193122_1	50	24	17	38
2193122_2	50	24	17	38
1257373	36	25	16	39
2564044	28	13	14	24
1395148	32	29	25	47
395347	50	29	25	41
449433	48	21	22	30
1439552	39	26	16	16
1203872	23	13	11	19
2687001	24	14	22	25
1656480	26	22	21	24
2143293_1	37	10	19	25
2143293_2	37	10	19	25
1780195_1	28	16	16	41
1780195_2	28	16	16	41
1259636	45	31	9	41
1567337	48	24	22	33
2326733	30	17	19	17
496103	27	14	29	25
1392587_1	47	20	19	22
1392587_2	47	20	19	22
611839	33	17	20	27
2531995	47	31	15	30
2725517	34	30	12	41
1903768	32	25	19	23
2656581	38	19	25	22
520443_1	32	19	28	40
520443_2	32	19	28	40
2659706	40	18	19	26
1827100	44	24	14	36
2138557_1	31	14	21	23
2138557_2	31	14	21	23
1642849	37	27	14	33
1123594	24	17	14	16
1186822	40	27	22	31
2629628	40	20	20	49
2265922_1	36	27	31	24
2265922_2	36	27	31	24
1259620	25	23	21	39
811664	32	19	18	15
2616723	44	18	9	21
1580859	50	21	17	20
562033	26	16	20	29
2910178	33	17	25	38
2425417	31	19	14	29
2845832	31	23	16	21
1521983	21	25	20	30
33825	44	19	20	24
2752762	39	13	12	26
1654744	42	30	26	43
2518183	29	34	18	27
2385545	54	21	31	36
2562900	37	12	15	17
647718	48	28	18	37
1246919	36	18	14	29
366245	43	27	25	45
712376	44	34	26	46
1628118	36	20	15	34
790573_1	39	18	11	20
790573_2	39	18	11	20
2072989	24	14	17	24
2103001	37	21	24	47
1288046	33	27	13	15
22853	50	16	22	29
2925400	21	14	18	30
1426800	28	13	21	22
1463671	36	18	18	16
1824619	43	23	26	45
2040637	29	32	17	31
968821	42	21	24	37
1117723	39	24	23	24
488091	23	21	11	24
1203184	34	21	14	40
2449356	38	27	28	28
2658747	27	19	13	30
1273441	41	21	18	29
113408	46	17	14	21
2386395	37	14	23	39
2787505	31	12	15	20
1367448	32	20	10	35
246851	23	26	16	22
1262170	21	21	13	19
1253284	28	22	23	40
1511876	26	11	25	44
1901611_1	38	21	27	21
1901611_2	38	21	27	21
2822500	32	24	20	43
2763544	27	24	19	22
25731	40	28	31	33
1748216	40	27	17	24
2785203	19	16	14	17
1323727	47	20	16	19
326574	19	16	13	27
2668109	34	24	9	31
319558	42	14	26	29
1530279	30	22	22	28
2790750	38	18	9	16
1715524_1	46	21	19	17
1715524_2	46	21	19	17
